Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
1.04,VG,-0.31,E,VS2,32.5,,,,,7276877951,7276877951.pdf,Additional pinpoints are not shown. Surface graini   K.T.S:Feather, Twinning Wisp, Cloud, Pinpoint,ISRAEL,,13,NON,EX,60.1,https://segoma.com/v.aspx?type=view&id=LLV6LDPBQR,Y,,,        ,,,,FNT,0,Faceted,STK,MED,GIA,6.57 x  6.54 x  3.94,,,40.8,43,VG,6624,RBC,45,AZ113-45,EX,59,HK-March2019,,0,,,,
,-0.4,5880,E,VS2,0,    ,0,,,1313419438,1313419438.pdf,Pinpoints are not shown.   K.T.S:Crystal, Feather, Needle,ISRAEL,0,,NON,,63.6,https://segoma.com/v.aspx?type=view&id=R30KNWEXVS,Y,,,        ,,,,NON,0,,THK,THN,GIA,8.22 x  5.65 x  3.59,,,,0,EX,-0.4,EM,1.57,AZ113-56,VG,64,HK-March2019,,0,,,,,
RBC,44.5,EX,G,SI1,ISRAEL,,11.29,,,2151874585,2151874585.pdf,Clouds are not shown.Pinpoints are not shown.   K.T.S:Crystal, Feather, Knot, Needle, Indented Nat,,31.5,12.5,NON,EX,60.2,https://segoma.com/v.php?type=view&id=7NP4V21UOO,Y,,,        ,,,,FNT,0,Faceted,MED,THN,GIA,14.67 x 14.58 x  8.80,,,41.8,44.5,     ,35000,,50,AZ1134-1,EX,59,HK-March2019,,0,,,
RBC,44,EX,E,SI2,ISRAEL,,1.02,,,6271456241,6271456241.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather, Crystal, Cloud, Needle, Indented Na,,34.5,13.5,NON,VG,62.3,https://segoma.com/v.aspx?type=view&id=KZ8YD9T6TC,Y,,,        ,,,,NON,0,Faceted,THK,MED,GIA,6.39 x  6.37 x  3.97,,,41.4,44,-0.32,4556,,50,AZ115-10,VG,61,HK-March2019,,0,,,
4623,    ,0,E,SI2, Indented Na,,RAD,,,2304544326,2304544326.pdf,Additional clouds, pinpoints and manufacturing rem   K.T.S:Crystal, Feather, Cavity, Cloud,,ISRAEL,0,0,NON,,67,,Y,,,        ,,,,NON,0,,VTK,MED,GIA,7.36 x  6.84 x  4.58,,,    ,VG,-0.33,1.9,,0,AZ115-48,G,64,HK-March2019,,0,,
AZ120-52,HS,1.07,F,VVS1,,EX,EX,,,5191531700,5191531700.pdf,Clarity grade is based on internal graining that i   K.T.S:,ISRAEL,0,0,NON,,56.5,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,6.16 x  7.31 x  4.13,,AZ123-45,,    ,0,-0.3,5950,HS,,0,60,HK-March2019,,0,,,,,,,
AZ122-87,BG,1.02,F,VS1,,EX,EX,,,2294229816,2294229816.pdf,K.T.S:Feather,ISRAEL,0,0,NON,,64.5,,Y,,,        ,,,,NON,0,,MED,THN,GIA,8.58 x  4.24 x  2.73,,AZ111-54,,    ,0,-0.35,4550,BG,,0,69,HK-March2019,,0,,,,,,,
0,4556,HS,F,VS2,NON,0,AZ123-11,,,2307543233,2307543233.pdf,Internal graining is not shown. Surface graining i   K.T.S:Needle, Feather,ISRAEL,0,0,,,60.7,,Y,,,        ,,,,NON,0,Faceted,VTK,MED,GIA,5.93 x  6.87 x  4.17,,,,    ,EX,-0.33,4556,1.01,,VG,57,,,0,,,,,,
,-0.3,4760,F,VS2,0,    ,0,,,6311654044,6311654044.pdf,Surface graining is not shown.   K.T.S:Feather, Pinpoint, Natural,ISRAEL,0,,NON,,56.4,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,6.11 x  7.11 x  4.01,,AZ120-52,,0,VG,-0.3,HS,1.01,AZ123-45,VG,61,HK-March2019,,0,,,,,
-0.13,,41.8,F,I1, Needle,7.08 x  7.05 x  4.30,3828,,,1313509350,1313509350.pdf,Additional clouds, pinpoints and surface graining   K.T.S:Feather, Crystal, Cloud, Knot,, Inden,ISRAEL,33.5,13,NON,EX,60.8,https://segoma.com/v.aspx?type=view&id=UB35BHYWG7,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,,,,44.5,EX,RBC,1.31,,50,AZ127-15,EX,61,HK-March2019,,0,
AZ130-1,RBC,1.01,G,VVS1,VG,VG,VG,,,3165398191,3165398191.pdf,Cut grade affected by brillianteering.,ISRAEL,31.5,13,NON,,60.4,https://segoma.com/v.php?type=inner&id=Q48YDU7RCC,Y,,,        ,,,,NON,0,,THK,STK,GIA,6.48 x  6.44 x  3.90,,,,41.2,43.5,-0.32,6936,RBC,,50,58,HK-March2019,,0,,,,,,,
AZ135-15,RBC,1.07,G,SI2,EX,VG,EX,,,329866738,,,ISRAEL,0,0,,,0,https://segoma.com/v.aspx?type=view&id=J7NZPX8L95,Y,,,        ,,,,NONE,0,,,,IGI,6.46 x  6.50 x  4.06,,,,    ,0,-0.37,3780,RBC,,0,61,HK-March2019,,0,,,,,,,
AZ140-15,CUSH,1.13,H,IF,,EX,VG,,,6242755179,6242755179.pdf,Minor details of polish are not shown.   K.T.S:,ISRAEL,0,0,NON,,68.5,https://segoma.com/v.aspx?type=view&id=8SKFEJUN59,Y,,,        ,,,,NON,0,Faceted,STK,THN,GIA,5.87 x  5.81 x  3.98,,AZ140-18,,    ,0,-0.45,3630,CUSH,,0,61,HK-March2019,,0,,,,,,,
AZ140-18,CUSH,1.06,H,IF,,EX,VG,,,6242754738,6242754738.pdf,Minor details of polish are not shown.   K.T.S:,ISRAEL,0,0,NON,,68.7,https://segoma.com/v.aspx?type=view&id=75PD4XWIM6,Y,,,        ,,,,NON,0,Faceted,MED,VTN,GIA,5.69 x  5.67 x  3.90,,AZ140-15,,    ,0,-0.45,3630,CUSH,,0,61,HK-March2019,,0,,,,,,,
,-0.23,6160,H,VS1,13.5,41.2,55,,,1188043223,1188043223.pdf,Additional pinpoints are not shown.   K.T.S:Crystal, Cloud, Pinpoint,ISRAEL,33,,NON,EX,60.4,https://segoma.com/v.aspx?type=view&id=LM2BVLOA9C,Y,,,        ,,,,NON,0,Faceted,MED,THN,GIA,6.54 x  6.51 x  3.94,,,,43.5,EX,-0.23,RBC,1.01,AZ142-16,EX,58,HK-March2019,,0,,,,,
MQ,0,VG,H,VS2,ISRAEL,,1.01,,,7291854022,7291854022.pdf,Pinpoints are not shown.   K.T.S:Feather, Crystal, Cavity, Needle, Extra Face,,0,0,MED,,59.6,,Y,,,        ,,,Blue,MED,0,Faceted,ETK,THN,GIA,11.87 x  4.88 x  2.91,,,    ,0,-0.5,2700,,0,AZ143-11,F,53,,,0,,,
AZ144-10,HS,1,J,,,,,,,,,,ISRAEL,0,0,,,0,https://up.diacam360.com/scan/163a_53095,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,1700,HS,,0,  ,,,0,,,,,,,
RBC,43.5,EX,K,SI2,ISRAEL,,1,,,6295382217,6295382217.pdf,Additional clouds are not shown.   K.T.S:Feather, Crystal, Cloud, Needle, Indented Na,,36,13,NON,G,62.5,https://segoma.com/v.aspx?type=view&id=TGDPVOWNHF,Y,,,        ,,,Blue,MED,0,Faceted,VTK,THK,GIA,6.30 x  6.25 x  3.92,,,41,43.5,-0.35,2535,,60,AZ175-11,VG,64,HK-March2019,,0,,,
AZ180-11,OV,1.59,N,VVS1,,EX,VG,,,1172867721,1172867721.pdf,K.T.S:Feather,ISRAEL,0,0,NON,,46.6,,Y,,,        ,,,,NON,0,Faceted,VTK,STK,GIA,9.99 x  6.96 x  3.24,,,,    ,0,     ,2300,OV,,0,67,HK-March2019,,0,,,,,,,
PS,0,VG,L,SI1,ISRAEL,AZ273-11,1.7,,,6305319021,6305319021.pdf,Clouds, pinpoints and surface graining are not sho   K.T.S:Crystal, Feather, Cavity, Needle,,0,0,NON,,65.7,,Y,,,        ,,,,NON,0,Faceted,ETK,MED,GIA,9.96 x  6.51 x  4.28,,,    ,0,-0.25,2475,,0,AZ184-15,G,60,HK-March2019,,0,,,
AZ197-1,PR,1.03,FGGY,,,,,,,15144542,AZ197-01.pdf,NONE,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,GIA,5.49 x  5.43 x  4.27,,,,    ,0,     ,2500,PR,,0,  ,,,0,,,,,,,
,     ,90000,,VVS1,0,    ,0,,,2185987202,2185987202.pdf,Internal graining is not shown. Additional extra f  Fancy Orangy Pink, Natural Even K.T.S:Chip, Extra Facet,ISRAEL,0,,NON,,62.3,https://segoma.com/v.aspx?type=view&id=6WJGGFQJZ5,Y,,,PINK    ,FANCY,ORANGY,,NON,0,,VTK,THK,GIA,6.68 x  5.80 x  3.61,,,,0,VG,     ,RAD,1.3,AZ199-02,G,70,HK-March2019,,0,,,,,
1.14,EX,     ,,VVS1,0,,,,,2181724517,2181724517.pdf,Fancy Intense Yellow, Natural Even K.T.S:Feather, Indented Natural, Natural,ISRAEL,,0,NON,,74.6,https://segoma.com/v.php?type=inner&id=N83TWULZZ,Y,,,YELLOW  ,INTENSE,,Blue,MED,0,,,ETK,GIA,6.34 x  4.93 x  3.68,,AZ199-14,    ,0,EX,6000,RAD,0,AZ199-13,EX,61,HK-March2019,,0,,,,
,     ,6000,,VVS1,0,    ,0,,,6173934362,6173934362.pdf,Surface graining is not shown.  Fancy Intense Yellow, Natural Even K.T.S:Feather, Chip,ISRAEL,0,,NON,,72.1,https://segoma.com/v.php?type=inner&id=ZTZTW55UNN,Y,,,YELLOW  ,INTENSE,,,NON,0,,,ETK,GIA,6.15 x  5.06 x  3.65,,AZ199-13,,0,VG,     ,RAD,1.13,AZ199-14,VG,60,HK-March2019,,0,,,,,
     ,,    ,,VS2, Feather,6.40 x  7.48 x  3.87,6200,,,6272044633,6272044633.pdf,Additional clouds, pinpoints and surface graining  Fancy Intense Yellow, Natural Even K.T.S:Twinning Wisp, Cloud, Crystal,, Need,ISRAEL,0,0,NON,,51.7,https://segoma.com/v.aspx?type=view&id=G42AMN8QHU,Y,,,YELLOW  ,INTENSE,,,NON,0,Faceted,VTK,MED,GIA,,,,0,EX,HS,1.27,,0,AZ199-19,G,64,HK-March2019,,0,
1.62,EX,     ,,VVS1,0,,,,,1278836202,1278836202.pdf,Fancy Intense Yellow, Natural Even K.T.S:Cloud, Feather, Extra Facet,ISRAEL,,0,NON,,66.7,https://segoma.com/v.aspx?type=view&id=8OVZNJBXEB,Y,,,YELLOW  ,INTENSE,,,NON,0,,ETK,VTK,GIA,6.34 x  6.27 x  4.18,,,    ,0,EX,6250,RAD,0,AZ199-41,G,65,HK-March2019,,0,,,,
AZ199-43,RBC,1.01,H,VS1,EX,EX,EX,,,D90481730IL,,,ISRAEL,0,0,,,64.3,,Y,,,        ,,,,FAINT,0,,,,IGL,6.29 x  6.32 x  4.05,,,,    ,0,     ,2000,RBC,,0,57,HK-March2019,,0,,,,,,,
AZ199-44-1,RBC,1.25,J,VS2,G,VG,G,,,D90481417IL,,,ISRAEL,0,0,,,67,,Y,,,        ,,,,NONE,0,,,,IGL,6.47 x  6.62 x  4.40,,,,    ,0,-0.55,2565,RBC,,0,55,HK-March2019,,0,,,,,,,
AZ199-44-2,RBC,1.11,H,SI1,EX,EX,EX,,,D90482050IL,,,ISRAEL,0,0,,,61.3,,Y,,,        ,,,,NONE,0,,,,IGL,6.63 x  6.76 x  4.09,,,,    ,0,-0.7,2040,RBC,,0,57,HK-March2019,,0,,,,,,,
30000,    ,0,,SI1, Indented Nat,,PS,,,2195939216,2195939216.pdf,Clouds, pinpoints and surface graining are not sho  Fancy Deep Brown-Pink, Natural Even K.T.S:Etch Channel, Crystal, Feather,,ISRAEL,0,0,NON,,54.5,https://segoma.com/v.aspx?type=view&id=2CSQHIJ8X2,Y,,,PINK    ,FANCY,BROWN,Blue,MED,0,Faceted,VTK,THN,GIA,9.36 x  5.75 x  3.14,,,    ,VG,     ,1.02,,0,AZ199-46,G,59,HK-March2019,,0,,
AZ199-54,RAD,1.65,S,VS2,,VG,G,,,3215924848,3215924848.pdf,Additional clouds are not shown.,ISRAEL,0,0,NON,,68.2,https://up.diacam360.com/scan/83ef_44591,Y,,,        ,,,,NON,0,,ETK,VTK,GIA,6.46 x  6.33 x  4.32,,,,    ,0,     ,2750,RAD,,0,76,HK-March2019,,0,,,,,,,
2.01,EX,-0.3,D,VS1,0,,,,,7328467980,7328467980.pdf,Surface graining is not shown.   K.T.S:Feather, Needle, Pinpoint, Indented Natural,ISRAEL,,0,NON,,58,,Y,,,        ,,,,NON,0,Faceted,VTK,STK,GIA,7.90 x  8.81 x  5.11,,AZ203-05,    ,0,EX,12600,HS,0,AZ202-03,EX,64,,,0,,,,
HS,0,EX,D,VS2,ISRAEL,AZ202-03,2.01,,,5306274808,5306274808.pdf,Pinpoints are not shown.   K.T.S:Crystal, Feather, Cavity, Indented Natural,,,0,0,NON,,58.7,,Y,,,        ,,,,NON,0,Faceted,VTK,THN,GIA,7.78 x  8.71 x  5.12,,,    ,0,-0.3,10850,,0,AZ203-05,EX,59,,,0,,,
5060,    ,0,D,SI2, Ex,,HS,,,5141848202,5141848202.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather, Crystal, Cloud, Needle, Natural,,ISRAEL,0,0,NON,,58.1,https://segoma.com/v.php?type=inner&id=7GY2QUMMMM,Y,,,        ,,,,NON,0,Faceted,ETK,STK,GIA,7.18 x  8.50 x  4.94,AZ225-11,,    ,VG,-0.45,2.01,,0,AZ205-1,G,63,HK-March2019,,0,,
HS,0,EX,F,SI2,ISRAEL,AZ205-1,2.01,,,1172199178,1172199178.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Crystal, Feather, Cloud, Needle, Indented Na,,0,0,NON,,59.9,https://segoma.com/v.php?type=inner&id=LLHY56LF99,Y,,,        ,,,,NON,0,Faceted,ETK,STK,GIA,7.21 x  8.56 x  5.13,,,    ,0,-0.45,4840,,0,AZ225-11,VG,59,HK-March2019,,0,,,
AZ241-10,RBC,2.03,H,VVS2,EX,EX,VG,,,2287830740,2287830740.pdf,Internal graining is not shown. Surface graining i   K.T.S:,ISRAEL,33.5,12.5,NON,,60.8,https://segoma.com/v.aspx?type=view&id=8J38WFKF6D,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,8.19 x  8.11 x  4.95,,,,41.4,44,-0.37,9765,RBC,,55,61,HK-March2019,,0,,,,,,,
AZ245-01,RBC,2.62,G,SI2,EX,EX,EX,,,355935608,,,ISRAEL,0,0,,,61.3,https://segoma.com/v.aspx?type=view&id=OQLCWBT2H1,Y,,,        ,,,,NONE,0,,,,IGI,8.90 x  8.96 x  5.48,,,,    ,0,-0.38,6200,RBC,,0,57,HK-March2019,,0,,,,,,,
3000,    ,0,L,SI1, Indented N,,PS,,,1309318746,1309318746.pdf,Clouds, pinpoints and surface graining are not sho   K.T.S:Crystal, Cavity, Feather, Needle,,ISRAEL,0,0,NON,,66.8,,Y,,,        ,,,,NON,0,Faceted,ETK,THN,GIA,10.32 x  6.97 x  4.65,AZ184-15,,    ,VG,-0.25,2.01,,0,AZ273-11,F,59,HK-March2019,,0,,
AZ293-4,CUSH,2.69,,VVS2,,VG,VG,,,DB7007365IL,,,ISRAEL,0,0,,,0,,Y,,,BROWN   ,,,,FAINT,0,,,,IGL,8.64 x  9.69 x  4.81,,,,    ,0,     ,3000,CUSH,,0,  ,HK-March2019,,0,,,,,,,
AZ299-11,PS,2.47,L,VS,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,GIA,,,,,    ,0,     ,3000,PS,,0,  ,HK-March2019,,0,,,,,,,
VG,,,Fancy,SI1, Feather,GIA,     ,,,1182697567,1182697567.pdf,Clouds, pinpoints, patches of color and surface gr  Fancy Dark Brown-Greenish Yellow, Natural Eve K.T.S:Crystal, Etch Channel,, Needle, Natu,ISRAEL,0,0,VSM,,60.3,https://segoma.com/v.aspx?type=view&id=RB8ERTMMCQ,Y,,,        ,,,,NON,0,Faceted,VTK,MED,9.68 x  7.61 x  4.59,,,    ,0,3000,OV,2.53,,0,AZ299-14,F,52,HK-March2019,,0
ROSE,0,G,,I2,ISRAEL,,2,,,2185966877,2185966877.pdf,Fancy Brownish Yellow, Natural Even K.T.S:Feather, Cavity, Indented Natural, Extra Fac,,0,0,NON,,38,https://segoma.com/v.aspx?type=view&id=BCX6LXKCIX,Y,,,YELLOW  ,FANCY,BROWNISH,,NON,0,Faceted,THK,THN,GIA,10.15 x  7.96 x  3.03,,,    ,0,     ,2000,,0,AZ299-18A,G,62,HK-March2019,,0,,,
AZ299-33,OV,2.01,,SI2,,VG,G,,,2131554883,2131554883.pdf,Fancy Yellow,ISRAEL,0,0,Very Small,,63.3,https://segoma.com/v.aspx?type=view&id=P4T2XIE2M2,Y,,,YELLOW  ,FANCY,,,FAINT,0,,Extremely Thick,Very Thick,GIA,8.59 x  6.68 x  4.23,,,,    ,0,     ,4500,OV,,0,61,HK-March2019,,0,,,,,,,
RAD,0,EX,,VS2,ISRAEL,,2.75,,,5191284722,5191284722.pdf,Fancy Intense Yellow, Natural Even K.T.S:Feather, Cloud, Needle, Extra Facet,,0,0,NON,,68.2,https://segoma.com/v.aspx?type=view&id=QV258FYXJ2,Y,,,YELLOW  ,INTENSE,,,NON,0,,ETK,ETN,GIA,8.18 x  7.26 x  4.95,,,    ,0,     ,8300,,0,AZ299-46,G,65,HK-March2019,,0,,,
RAD,0,EX,,VS2,ISRAEL,AZ299-57,2.01,,,1305447691,1305447691.pdf,Fancy Intense Yellow, Natural Even K.T.S:Feather, Indented Natural, Natural, Extra Fa,,0,0,NON,,68.2,,Y,,,YELLOW  ,INTENSE,,,NON,0,,VTK,THK,GIA,7.55 x  6.35 x  4.33,,,    ,0,     ,8500,,0,AZ299-56,G,63,,,0,,,
8500,    ,0,,VS2, Extra Facet,,RAD,,,6302964700,6302964700.pdf,Additional clouds are not shown. Pinpoints are not  Fancy Intense Yellow, Natural Even K.T.S:Crystal, Cloud, Needle, Natural,,ISRAEL,0,0,NON,,69,,Y,,,Yellow  ,Fancy Intense,,,NON,0,,ETK,THK,GIA,7.57 x  6.27 x  4.33,AZ299-56,,    ,EX,     ,2.04,,0,AZ299-57,VG,62,,,0,,
EX,AZ299-85,,,SI1, Feather,GIA,     ,,,5182915460,5182915460.pdf,Clouds, pinpoints, internal graining and surface g  Fancy Deep Brownish Greenish Yellow, Natural K.T.S:Crystal, Cavity,, Needle, Indented N,ISRAEL,0,0,NON,,67.8,,Y,,,YELLOW  ,DEEP,BROWNISH,,NON,0,Faceted,,ETK,6.82 x  6.78 x  4.60,WeChat ID - GuyZamir,AZ299-85,    ,0,3300,CUSH,2.01,,0,AZ299-66,VG,58,HK-March2019,,0
7100,    ,0,,VS2, Indented Na,,CUSH,,,2195408693,2195408693.pdf,Additional clouds are not shown.  Fancy Intense Yellow, Natural Even K.T.S:Crystal, Feather, Needle, Cloud,,ISRAEL,0,0,NON,,65.3,https://segoma.com/v.aspx?type=view&id=OFL2A1HGJ0,Y,,,YELLOW  ,INTENSE,,,NON,0,Faceted,ETK,THK,GIA,7.14 x  7.14 x  4.67,,,    ,EX,     ,2.09,,0,AZ299-78,G,67,HK-March2019,,0,,
3300,    ,0,,SI1,,WeChat ID - GuyZamir,CUSH,,,6183915437,6183915437.pdf,Clouds are not shown. Pinpoints are not shown.  Fancy Deep Brownish Greenish Yellow, Natural K.T.S:Crystal, Feather, Indented Natural, Needle,,ISRAEL,0,0,NON,,67.3,,Y,,,YELLOW  ,DEEP,GREENISH,,NON,0,Faceted,,ETK,GIA,6.78 x  6.66 x  4.48,AZ299-66,,    ,EX,     ,2.01,,0,AZ299-85,G,57,HK-March2019,,0,,
AZ301-4,RBC,3.01,D,VVS2,VG,EX,G,,,2121799084,2121799084.pdf,K.T.S:Pinpoint,ISRAEL,36,15,NON,,62.3,https://segoma.com/v.php?type=inner&id=QWXX046TDD,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,9.22 x  9.17 x  5.73,,,,41.4,44,-0.48,25480,RBC,,50,59,,,0,,,,,,,
3,EX,-0.43,D,VS2,0,,,,,2247792050,2247792050.pdf,Internal graining is not shown.   K.T.S:Feather, Etch Channel, Cavity, Indented Natu,ISRAEL,,0,NON,,60.7,https://segoma.com/v.aspx?type=view&id=BJPZU5P4AS,Y,,,        ,,,,NON,0,Faceted,THK,THN,GIA,13.99 x  7.86 x  4.77,,,    ,0,EX,14250,MQ,0,AZ303-15,G,56,HK-March2019,,0,,,,
RBC,43,VG,E,VS1,ISRAEL,,3.01,,,1126957377,1126957377.pdf,K.T.S:Indented Natural, Cloud, Pinpoint, Natural,,,35,15,NON,VG,62.6,https://segoma.com/v.php?type=inner&id=DBJTR9C922,Y,,,        ,,,,NON,0,Faceted,THK,VTN,GIA,9.21 x  9.11 x  5.74,,,40.8,43,-0.48,18720,,50,AZ312-9,G,58,,,0,,,
13020,    ,0,F,VS2, Needle,,EM,,,6302667134,6302667134.pdf,Additional clouds, pinpoints, internal graining an   K.T.S:Crystal, Cloud, Feather,,ISRAEL,0,0,NON,,67.5,https://segoma.com/v.aspx?type=view&id=LGMOLCK9S4,Y,,,        ,,,,NON,0,,THK,STK,GIA,9.51 x  7.06 x  4.77,,,    ,EX,-0.38,3.02,,0,AZ323-15,EX,61,HK-March2019,,0,,
PS,0,VG,H,SI1,ISRAEL,,3,,,6312422234,6312422234.pdf,Clouds are not shown. Pinpoints are not shown.   K.T.S:Feather, Crystal, Cavity, Needle, Knot,,0,0,NON,,53.5,https://segoma.com/v.aspx?type=view&id=WB4ROAEZVO,Y,,,        ,,,,NON,0,Faceted,ETK,STK,GIA,12.54 x  8.51 x  4.56,,,    ,0,-0.3,8400,,0,AZ344-15,VG,59,HK-March2019,,0,,,
