Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
AZ350-15,PS,3.12,I,IF,,VG,G,,,2195483267,2195483267.pdf,Minor details of polish are not shown.   K.T.S:,HONG KONG,0,0,VSM,,63.6,https://segoma.com/v.aspx?type=view&id=DQ1UO8C9EN,Y,,,        ,,,Blue,VST,0,Faceted,ETK,MED,GIA,12.44 x  8.09 x  5.15,,,,    ,0,-0.45,9350,PS,,0,56,HK-March2019,,0,,,,,,,
,-0.42,8410,J,VVS2,13.5,41,55,,,2151819691,2151819691.pdf,Additional pinpoints are not shown.   K.T.S:Pinpoint, Indented Natural, Natural,ISRAEL,35,,NON,G,62.2,https://segoma.com/v.aspx?type=view&id=0LTJEQRQWW,Y,,,        ,,,,NON,0,Faceted,VTK,THN,GIA,9.15 x  9.08 x  5.67,,,,43.5,VG,-0.42,RBC,3.01,AZ361-11,G,62,HK-March2019,,0,,,,,
50,5440,RBC,L,SI1,NON,43.5,AZ374-15,,,2287421372,2287421372.pdf,Pinpoints are not shown.   K.T.S:Crystal, Needle,ISRAEL,36,15,,EX,62.6,https://segoma.com/v.aspx?type=view&id=PG4PF9HXP9,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,9.39 x  9.34 x  5.86,,,,41,EX,-0.32,5440,3.22,,EX,59,HK-March2019,,0,,,,,,
AZ399-10,,3.04,,,,,,,,2185278090,,,ISRAEL,0,0,,,0,https://segoma.com/v.php?type=inner&id=4UQP3HYM44,Y,,,BROWN   ,DEEP,ORANGE,,,0,,,,GIA,8.26 x  7.52 x  5.90,,,,    ,0,     ,2000,,,0,  ,HK-March2019,,0,,,,,,,
,     ,7400,,SI2,0,    ,0,,,2185776311,2185776311.pdf,Pinpoints are not shown. An inscription is present  Fancy Intense Yellow, Natural Even K.T.S:Crystal, Indented Natural,ISRAEL,0,,NON,,70.3,https://segoma.com/v.php?type=inner&id=1HTJJXBEXX,Y,,,YELLOW  ,INTENSE,,,NON,0,Faceted,ETK,THK,GIA,8.12 x  7.54 x  5.30,,,,0,EX,     ,CUSH,3.01,AZ399-12,VG,59,HK-March2019,,0,,,,,
3.11,EX,     ,S-T,VS2,0,,,,,6292052382,6292052382.pdf,K.T.S:Crystal, Cloud, Feather, Pinpoint,ISRAEL,,0,NON,,69.1,AZ399-24.JPG,Y,,,        ,,,,FNT,0,Faceted,,VTK,GIA,8.81 x  7.48 x  5.17,,,    ,0,EX,3500,CUSH,0,AZ399-24,VG,63,HK-March2019,,0,,,,
AZ443-01,OLDC,4.31,H,VS2,,G,G,,,345846534,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,SLIGHT,0,,,,IGI,10.06 x  8.77 x  6.57,,,,    ,0,     ,9450,OLDC,,0,55,HK-March2019,,0,,,,,,,
RAD,0,EX,S-T,VVS1,ISRAEL,,4.03,,,2286632824,2286632824.pdf,Surface graining is not shown.   K.T.S:Indented Natural, Feather, Cavity, Natural,,,0,0,NON,,69.9,,Y,,,        ,,,,FNT,0,,ETK,VTK,GIA,8.69 x  8.28 x  5.79,,,    ,0,     ,3800,,0,AZ499-87,VG,58,HK-March2019,,0,,,
AZ510-11,HS,5.04,E,IF,,EX,VG,,,1152079405,1152079405.pdf,Minor details of polish are not shown.   K.T.S:,ISRAEL,0,0,NON,,47.1,https://segoma.com/v.aspx?type=view&id=3OF3ESIG6P,Y,,,        ,,,,NON,0,Faceted,VTK,STK,GIA,11.89 x 12.11 x  5.70,,,,    ,0,-0.45,36300,HS,,0,60,HK-March2019,,0,,,,,,,
0,12000,RBC,H,SI1,VG,0,AZ555-1,,,10019494001,,,ISRAEL,0,0,POINTED,,62.1,https://up.diacam360.com/scan/fd97_52787,Y,,,        ,,,,SLIGHT,0,Faceted,,MED,,HRD,10.87 x 10.97 x  6.78,,,,    ,EX,-0.5,12000,5.04,,EX,59,HK-March2019,,0,,,,,,
AZ572-11,ASH,5.01,J,VS1,,VG,VG,,,D90505249IL,,,ISRAEL,0,0,,,66.6,,Y,,,        ,,,,FAINT,0,,,,IGL,9.40 x  9.42 x  6.26,,,,    ,0,-0.7,5100,ASH,,0,65,,,0,,,,,,,
5.01,G,     ,N,SI1,0,,,,,5202229587,5202229587.pdf,K.T.S:Feather, Cavity, Pinpoint, Natural,ISRAEL,,0,NON,,67,,Y,,,        ,,,,NON,0,,THK,THN,GIA,11.85 x  8.28 x  5.55,,,    ,0,G,5000,EM,0,AZ577-01,G,75,,,0,,,,
7500,    ,0,,VS2,,,CUSH,,,2185462956,2185462956.pdf,Fancy Yellow, Natural Even K.T.S:Feather, Indented Natural, Cavity, Natural,,ISRAEL,0,0,NON,,69.9,https://segoma.com/v.aspx?type=view&id=UKI7G536DR,Y,,,YELLOW  ,FANCY,,,NON,0,Faceted,ETK,VTK,GIA,9.60 x  8.79 x  6.14,,,    ,VG,     ,5.03,,0,AZ599-01,G,67,HK-March2019,,0,,
AZBR-PR12,PR,1,YTREA,,,,,,,F4E81046,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,STRONG,0,,,,IGI,5.64 x  5.51 x  4.05,,,,    ,0,     ,1600,PR,,0,  ,,,0,,,,,,,
AZHD-003-11,HS,0.92,D,VS2,,VG,VG,,,2151225661,2151225661.pdf,,ISRAEL,0,0,NON,,51.1,https://segoma.com/v.aspx?type=view&id=OWH0XBCQUC,Y,,,        ,,,,NON,0,Faceted,ETK,THN,GIA,6.11 x  6.78 x  3.47,,,,    ,0,-0.3,4060,HS,,0,57,,,0,,,,,,,
6000,    ,0,,I1, Indented N,,CUSH,,,2165641037,2165641037.pdf,Pinpoints are not shown.  Fancy Brownish Yellow, Natural Even K.T.S:Feather, Crystal, Cavity, Needle,,ISRAEL,0,0,NON,,62.3,https://segoma.com/v.aspx?type=view&id=WVH3507BJJ,Y,,,YELLOW  ,FANCY,BROWNISH,Blue,MED,0,Faceted,VTK,THN,GIA,13.13 x 11.86 x  7.39,,,    ,VG,     ,9.05,,0,AZHD-1011,G,61,HK-March2019,,0,,
,-0.25,10350,E,VVS1,14.5,41.2,50,,,2145470604,2145470604.pdf,K.T.S:Pinpoint, Feather, Natural,ISRAEL,35.5,,NON,EX,62.2,https://segoma.com/v.php?type=inner&id=7TU57X50QQ,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,6.82 x  6.79 x  4.23,,,,43.5,EX,-0.25,RBC,1.21,AZHD-110-16,EX,59,,,0,,,,,
0,4200,HS,F,VS1,NON,0,AZMK-122,,,5276760708,5276760708.pdf,Additional clouds, pinpoints and internal graining   K.T.S:Cloud,BELGIUM,0,0,,,59.7,,Y,,,        ,,,,NON,0,Faceted,THK,STK,GIA,6.00 x  6.74 x  4.02,,,,    ,VG,-0.4,4200,1.01,,VG,58,,,0,,,,,,
11000,    ,0,,VS1, Natural,,CUSH,,,2155581950,2155581950.pdf,Fancy Yellow, Natural Even K.T.S:Needle, Feather, Cloud, Pinpoint,,ISRAEL,0,0,NON,,67.2,https://segoma.com/v.php?type=inner&id=3UMCQN5UXX,Y,,,YELLOW  ,FANCY,,,NON,0,Faceted,ETK,VTK,GIA,10.92 x 10.47 x  7.03,,,    ,VG,     ,7.56,,0,AZMK-799,VG,71,HK-March2019,,0,,
AZPR-3.0MM,PR,2.69,F,SI1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,15,    ,0,     ,158,PR,,0,  ,HK-March2019,,0,,,,,,,
AZPR-3.3MM,PR,6.79,F,SI1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,31,    ,0,     ,158,PR,,0,  ,HK-March2019,,0,,,,,,,
AZPR-3.6MM,PR,2.14,F,SI1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,8,    ,0,     ,60,PR,,0,  ,HK-March2019,,0,,,,,,,
AZPR-3.8MM,PR,8.18,F,SI1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,27,    ,0,     ,158,PR,,0,  ,HK-March2019,,0,,,,,,,
AZRD-0107B,RBC,7.86,J,VSSI,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,614,RBC,,0,  ,HK-March2019,,0,,,,,,,
AZRD-020AG3,RBC,6.39,F,SI1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,1321,RBC,,0,  ,HK-March2019,,0,,,,,,,
AZRD-020AG4,RBC,2.51,D,SI1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,1103,RBC,,0,  ,HK-March2019,,0,,,,,,,
4845,40.8,43,H,I1, Needle,,RBC,,,5192351327,5192351327.pdf,Clouds, pinpoints and surface graining are not sho   K.T.S:Feather, Crystal, Knot, Cavity,,ISRAEL,36,15.5,NON,EX,62.3,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,8.08 x  7.99 x  5.01,,,40.8,EX,-0.15,2.02,,50,AZYA-42,VG,58,,,0,,
AZYA-45,RBC,4.07,H,SI2,EX,EX,EX,,,180000092899,,,ISRAEL,0,0,,,61.5,,Y,,,        ,,,,NIL,0,,,,HRD,10.26 x 10.32 x  6.33,,,,    ,0,-0.48,8320,RBC,,0,58,HK-March2019,,0,,,,,,,
AZYA-48,PS,4.02,G,SI1,,EX,VG,,,314888797,,,ISRAEL,0,0,,,65.6,,Y,,,        ,,,,VERY SLIGHT,0,,,,IGI,13.65 x  8.74 x  5.73,,,,    ,0,-0.4,10500,PS,,0,55,HK-March2019,,0,,,,,,,
AZYA-50,RBC,3.58,H,SI2,EX,EX,EX,,,345844789,,,ISRAEL,0,0,,,62.2,https://segoma.com/v.aspx?type=view&id=VSNS2571SE,Y,,,        ,,,,NONE,0,,,,IGI,9.75 x  9.79 x  6.08,,,,    ,0,-0.43,7410,RBC,,0,59,HK-March2019,,0,,,,,,,
AZYA-52,RBC,1.01,F,SI2,VG,EX,EX,,,350223205,,,ISRAEL,0,0,,,63.6,,Y,,,        ,,,,NONE,0,,,,IGI,6.27 x  6.32 x  4.01,,,,    ,0,-0.48,3328,RBC,,0,58,,,0,,,,,,,
RBC,44.5,EX,E,SI2,ISRAEL,,1.51,,,1313695539,1313695539.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather, Crystal, Cloud, Cavity, Needle,,34,14.5,NON,EX,62.8,https://segoma.com/v.aspx?type=view&id=SNAJPW7BIO,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,7.34 x  7.29 x  4.59,,,41.6,44.5,-0.23,6545,,50,AZYA-55,EX,57,HK-March2019,,0,,,
PR,0,EX,F,SI2,ISRAEL,,3.01,,,6325138671,6325138671.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather, Cloud, Crystal, Cavity, Needle,,0,0,NON,,71.1,https://segoma.com/v.aspx?type=view&id=3D4COZHMEV,Y,,,        ,,,,NON,0,,THK,MED,GIA,8.15 x  7.97 x  5.66,,,    ,0,-0.35,7735,,0,AZYA-60,VG,68,,,0,,,
AZYA-61,RBC,3.55,G,SI2,VG,EX,EX,,,190000019082,,,ISRAEL,0,0,,,64,,Y,,,        ,,,,,0,,,,HRD,9.47 x  9.59 x  6.11,,,,    ,0,-0.45,7700,RBC,,0,55,,,0,,,,,,,
AZYA-62,CUSH,2.02,G,si1,,Exc,Exc,,,190000031019,190000031019.pdf,,ISRAEL,0,13,pointed,,67.9,,Y,,,        ,,,,medium,5.5,Faceted,,thick,HRD,7.69 x  6.64 x  4.51,,,,    ,0,-0.55,4725,CUSH,,0,65,,,0,,,,,,,
-0.37,,    ,F,SI2, Knot,10.54 x  6.84 x  4.54,5544,,,1327574305,1327574305.pdf,Additional twinning wisps, clouds, pinpoints and s   K.T.S:Twinning Wisp, Feather, Crystal,, Inden,ISRAEL,0,0,NON,,66.3,,Y,,,        ,,,,NON,0,Faceted,VTK,THK,GIA,,,,0,EX,PS,2,,0,AZYA-64,VG,53,,,0,
AZYA-67,RBC,2.01,G,SI2,VG,EX,VG,,,2327698086,,,ISRAEL,0,0,,,63.4,,Y,,,        ,,,,NONE,0,,,,GIA,7.91 x  7.96 x  5.03,,,,    ,0,-0.42,5800,RBC,,0,56,,,0,,,,,,,
AZYY-10,RBC,3.65,M,VS1,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,4500,RBC,,0,  ,,,0,,,,,,,
JEW-PEN,,1.35,,,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,9,    ,0,     ,45000,,,0,  ,HK-March2019,,0,,,,,,,
PS,0,VG,D,VS2,ISRAEL,SH-114,3.01,,,7266674685,7266674685.pdf,K.T.S:Indented Natural, Cavity, Feather, Natural,,,0,0,NON,,61.2,https://segoma.com/v.aspx?type=view&id=4QMQKAFCAI,Y,,,        ,,,,NON,0,Faceted,ETK,MED,GIA,12.34 x  7.59 x  4.64,,,    ,0,-0.49,12750,,0,SH-135,G,52,HK-March2019,,0,,,
0,5040,PR,E,VVS2,NON,0,SH-148,,,1186150804,1186150804.pdf,Additional pinpoints are not shown. Surface graini   K.T.S:Pinpoint, Indented Natural,ISRAEL,0,0,,,67.6,https://segoma.com/v.aspx?type=view&id=NNXEN5QM3I,Y,,,        ,,,,NON,0,,VTK,THK,GIA,5.60 x  5.52 x  3.73,WeChat ID - GuyZamir,AZ102-18,,    ,EX,-0.4,5040,1.02,,VG,67,HK-March2019,,0,,,,,,
RAD,0,EX,H,SI1,ISRAEL,,1.9,,,5182986578,5182986578.pdf,Additional clouds are not shown. Pinpoints are not   K.T.S:Cloud, Feather, Crystal, Indented Natural, N,,0,0,NON,,68.8,,Y,,,        ,,,,NON,0,,,STK,GIA,7.52 x  6.01 x  4.14,,,    ,0,-0.36,4480,,0,SH-158,G,67,HK-March2019,,0,,,
OV,0,VG,G,SI2,ISRAEL,,2.61,,,5192454202,5192454202.pdf,Clouds are not shown. Pinpoints are not shown.   K.T.S:Laser Drill Hole, Feather, Crystal, Needle,,,0,0,NON,,58.6,https://segoma.com/v.aspx?type=view&id=TB5HVCZJTO,Y,,,        ,,,,NON,0,Faceted,THK,THN,GIA,11.92 x  7.51 x  4.40,,,    ,0,-0.25,6375,,0,SH-168,G,60,,,0,,,
,-0.3,3710,K,SI1,0,    ,0,,,7293467547,7293467547.pdf,Clouds are not shown. Pinpoints are not shown.   K.T.S:Crystal, Feather, Needle,ISRAEL,0,,NON,,69.6,,Y,,,        ,,,,NON,0,,,STK,GIA,7.53 x  7.40 x  5.14,,SH-173,,0,EX,-0.3,ASH,2.54,SH-171,EX,61,HK-March2019,,0,,,,,
9600,    ,0,F,SI1,,,OV,,,5181554414,5181554414.pdf,Additional clouds, internal graining and surface g   K.T.S:Feather, Cavity, Crystal, Indented Natural,,ISRAEL,0,0,NON,,60.6,https://segoma.com/v.aspx?type=view&id=RP3M72ATL8,Y,,,        ,,,,FNT,0,Faceted,ETK,STK,GIA,12.38 x  7.16 x  4.34,,,    ,VG,-0.4,3.01,,0,SH-174,G,60,HK-March2019,,0,,
1.13,VG,-0.33,F,SI2,0,,,,,6167846029,6167846029.pdf,Clouds are not shown.   K.T.S:Feather, Etch Channel, Crystal, Extra Facet,ISRAEL,,0,NON,,56.9,https://segoma.com/ClientsView_new.htm,Y,,,        ,,,,NON,0,Faceted,VTK,THN,GIA,9.41 x  6.06 x  3.45,,,    ,0,VG,3417,PS,0,SH-175,G,56,HK-March2019,,0,,,,
PS,0,EX,F,VS2,ISRAEL,,3.01,,,2314351780,2314351780.pdf,K.T.S:Feather, Crystal, Indented Natural, Needle,,,0,0,NON,,61,https://segoma.com/v.aspx?type=view&id=H1OXVRTUJQ,Y,,,        ,,,,NON,0,Faceted,ETK,MED,GIA,12.06 x  7.97 x  4.86,,,    ,0,-0.35,13650,,0,SH-190,G,54,HK-March2019,,0,,,
SH-204,RBC,4.03,K,SI1,VG,EX,EX,,,5201064193,5201064193.pdf,K.T.S:Feather,ISRAEL,32,10.5,NON,,58.8,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,10.45 x 10.42 x  6.13,,,,42,45,-0.35,7475,RBC,,55,66,,,0,,,,,,,
4.51,VG,-0.3,D,VS2,0,,,,,6321501446,6321501446.pdf,K.T.S:Crystal, Feather, Pinpoint, Indented Natural,ISRAEL,,0,NON,,53.1,,Y,,,        ,,,,NON,0,Faceted,VTK,MED,GIA,11.16 x 11.36 x  6.03,,,    ,0,VG,25200,HS,0,SHRD-06,VG,58,,,0,,,,
11390,    ,0,G,SI2, Nat,,PS,,,5201019694,5201019694.pdf,Additional twinning wisps, pinpoints and surface g   K.T.S:Crystal, Twinning Wisp, Feather, Cavity,,ISRAEL,0,0,NON,,55.2,,Y,,,        ,,,,NON,0,Faceted,ETK,MED,GIA,16.23 x  9.35 x  5.16,,,    ,VG,-0.33,5.03,,0,SHRD-07,G,52,,,0,,
YBR-15,,7.61,,,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,21,    ,0,     ,1500,,,0,  ,HK-March2019,,0,,,,,,,
YDD-1,RBC,0.56,W-X,VVS2,VG,VG,G,,,1162749995,1162749995.pdf,,ISRAEL,33.5,12.5,VSM,,57.7,https://segoma.com/v.php?type=inner&id=YG07UOXWTT,Y,,,        ,,,,NON,0,Polished,MED,VTN,GIA,5.47 x  5.43 x  3.15,,,,40.8,43,     ,1000,RBC,,55,62,,,0,,,,,,,
4761,    ,0,E,SI2, Indented Na,,RAD,,,2304544326,2304544326.pdf,Additional clouds, pinpoints and manufacturing rem   K.T.S:Crystal, Feather, Cavity, Cloud,,ISRAEL,0,0,NON,,67,https://segoma.com/v.aspx?type=view&id=RRY5COOLQQ,Y,,,        ,,,,NON,0,,VTK,MED,GIA,7.36 x  6.84 x  4.58,,,    ,VG,-0.31,1.9,,0,YKF-01,G,64,,,0,,
YROZ-04,HS,1.17,D,IF,,G,G,,,15837742,15837742.pdf,Minor details of polish are not shown.   K.T.S:Extra Facet,ISRAEL,0,0,NON,,43.8,,Y,,,        ,,,,NON,0,Faceted,VTK,ETN,GIA,7.33 x  7.94 x  3.48,,,,    ,0,-0.55,6525,HS,,0,66,,,0,,,,,,,
YROZ-05,RBC,1.17,D,IF,EX,EX,EX,,,2111477169,,Surface graining is not shown.   K.T.S:,ISRAEL,35.5,15,NON,,62.3,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,6.72 x  6.69 x  4.18,,,,41,43.5,-0.4,11880,RBC,,50,58,,,0,,,,,,,
YROZ-06,RBC,1.5,D,IF,VG,EX,EX,,,14837865,14837865.pdf,Surface graining is not shown.Minor details of pol   K.T.S:,ISRAEL,33.5,16,NON,,60.7,,Y,,,        ,,,,NON,0,Faceted,STK,MED,GIA,7.46 x  7.41 x  4.51,,,,40.4,42.5,-0.49,13260,RBC,,50,52,,,0,,,,,,,
YROZ-07,RBC,1.74,D,IF,VG,EX,VG,,,6117459933,6117459933.pdf,Minor details of polish are not shown.   K.T.S:,ISRAEL,34.5,15,NON,,62.8,,Y,,,        ,,,,NON,0,Faceted,STK,THN,GIA,7.73 x  7.68 x  4.84,,,,41.8,44.5,-0.45,14300,RBC,,55,56,,,0,,,,,,,
     ,,    ,,SI2, Needle,7.80 x  6.37 x  4.58,6000,,,6157908393,6157908393.pdf,Clouds, pinpoints and surface graining are not sho  Fancy Intense Yellow, Natural Even K.T.S:Feather, Crystal, Etch Channel,, Inde,ISRAEL,0,0,NON,,71.9,,Y,,,YELLOW  ,INTENSE,,Blue,MED,0,Faceted,ETK,STK,GIA,,,,0,VG,CUSH,2.03,,0,YROZ-55,G,59,HK-March2019,,0,
YROZ-70,RBC,2.23,,VVS2,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,PINK    ,,,,,0,,,,,,,,,    ,0,     ,14000,RBC,,0,  ,HK-March2019,,0,,,,,,,
0,18000,PS,,IF,NON,0,YROZ-99,,,2181596127,2181596127.pdf,Minor details of polish are not shown. * This diam  Fancy Vivid Pink, Treated  Even K.T.S:Extra Facet,ISRAEL,0,0,,,67.7,,Y,,,Pink    ,Fancy Vivid,,Orange,MED,0,Faceted,ETK,MED,GIA,13.85 x  8.90 x  6.03,,,,    ,VG,     ,18000,4.75,,G,56,HK-March2019,,0,,,,,,
YSEL-1,PS,25.45,K,,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,41,    ,0,     ,1583,PS,,0,  ,HK-March2019,,0,,,,,,,
0,3135,HS,G,SI1,MED,0,YSEL-3,,,6173868833,6173868833.pdf,Additional twinning wisps, pinpoints and surface g   K.T.S:,ISRAEL,0,0,,,71.4,https://segoma.com/v.php?type=inner&id=CXPTUJRZJJ,Y,,,        ,,,,NON,0,Faceted,ETK,VTK,GIA,6.93 x  6.25 x  4.46,,,,    ,G,-0.45,3135,1.31,,G,60,,,0,,,,,,
YSEL-4,PS,1.01,J,VS2,,VG,G,,,2171868887,2171868887.pdf,Pinpoints are not shown.,ISRAEL,0,0,MED,,74,https://segoma.com/v.php?type=inner&id=MXA9J8W288,Y,,,        ,,,,NON,0,Faceted,ETK,VTK,GIA,7.36 x  5.09 x  3.77,,,,    ,0,-0.6,1560,PS,,0,48,HK-March2019,,0,,,,,,,
0,1450,PR,J,SI2,NON,0,YSEL-56,,,7311386254,7311386254.pdf,K.T.S:Crystal, Feather,ISRAEL,0,0,,,89.4,,Y,,,        ,,,,NON,0,,ETK,ETN,GIA,5.41 x  4.79 x  4.28,,,,    ,G,-0.5,1450,0.94,,F,68,,,0,,,,,,
YSEL-ZD168,HS,0.97,G,SI3,,VG,F,,,2360182426,,,ISRAEL,0,0,,,56.6,,Y,,,        ,,,,DISTINCT,0,,,,EGL Israel,7.26 x  6.24 x  3.53,,,,    ,0,-0.6,1280,HS,,0,57,,,0,,,,,,,
HS,0,VG,E,VS1,ISRAEL,,1,,,7271627090,7271627090.pdf,Pinpoints are not shown.   K.T.S:Crystal, Cavity, Needle, Indented Natural, N,,0,0,NON,,51.7,https://segoma.com/v.aspx?type=view&id=0ZGVN4J3ZZ,Y,,,        ,,,,NON,0,Faceted,STK,VTN,GIA,6.50 x  7.69 x  3.97,,,    ,0,-0.45,4125,,0,YSELD-01,G,65,,,0,,,
,-0.4,2520,G,VVS2,0,    ,0,,,6315386139,6315386139.pdf,K.T.S:Pinpoint, Feather, Cavity,ISRAEL,0,,NON,,66,https://segoma.com/v.aspx?type=view&id=QS248LIBLM,Y,,,        ,,,,NON,0,,STK,THN,GIA,6.73 x  4.16 x  2.74,,,,0,VG,-0.4,EM,0.74,YSELD-02,VG,66,,,0,,,,,
