Allow RapLink Feed,Availability,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Clarity,Color,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,Cut Grade,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,Polish,RapNet Discount %,RapNet Price,Shape,Size,State,Star Length,Stock #,Symmetry,Table %,Trade Show,BGM,Full List Price,Second Site
Y,,,,1323138625,1323138625.pdf,SI2,D,Clouds are not shown. Pinpoints are not shown.   K.T.S:Crystal; Feather; Cavity; Knot; Needle; Inde,ISRAEL,0.0,0.0,NON,,62.9,,Y,,,        ,,,,NON,0.00,Faceted,VTK,STK,GIA,8.89 x  5.45 x  3.43,,,,    , 0.0,EX,-0.38,3410,PS, 1.00,,  0,AG114-03,VG,55,,,0,
Y,,,,364907669,,SI2,F,,ISRAEL,0.0,0.0,,VG,59.7,,Y,,,        ,,,,NONE,0.00,,,,IGI,6.38 x  6.45 x  3.84,,,,    , 0.0,EX,-0.47,3392,RBC, 1.01,,  0,AG116-06A,VG,64,,,0,
Y,,,,361907670,,SI2,G,,ISRAEL,0.0,0.0,,VG,63.8,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,6.26 x  6.29 x  4.00,,,,    , 0.0,VG,-0.47,3180,RBC, 1.00,,  0,AG116-06C,VG,63,,,0,
Y,,,,361907672,,SI2,G,,ISRAEL,0.0,0.0,,G,59.8,,Y,,,        ,,,,NONE,0.00,,,,IGI,6.35 x  6.40 x  3.81,,,,    , 0.0,VG,-0.47,3180,RBC, 1.00,,  0,AG116-06D,VG,64,,,0,
Y,,,,361907668,,SI2,E,,ISRAEL,0.0,0.0,,VG,61.0,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,6.43 x  6.46 x  3.93,,,,    , 0.0,VG,-0.47,3551,RBC, 1.04,,  0,AG116-06E,VG,63,,,0,
Y,,,,361964503,,SI2,E,,ISRAEL,0.0,0.0,,EX,63.5,,Y,,,        ,,,,VERY SLIGHT,0.00,,,,IGI,8.05 x  8.13 x  5.13,,,,    , 0.0,EX,-0.45,6050,RBC, 2.08,,  0,AG238-01,EX,55,,,0,
Y,,,,7306373000,7306373000.pdf,SI2,I,Additional twinning wisps; clouds and surface grai   K.T.S:Twinning Wisp; Feather; Crystal; Needle; Ind,ISRAEL,36.0,15.0,NON,EX,62.6,https://segoma.com/v.aspx?type=view&id=T2W171HONB,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,8.63 x  8.59 x  5.39,,,,41.0,43.5,EX,-0.30,5950,RBC, 2.50,, 55,AG255-04,EX,59,,,0,
Y,,,,,,,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,5000,RBC, 3.01,,  0,AG347-02,,  ,,,0,
Y,,,,337825737,,SI2,I,,ISRAEL,13.5,0.0,P,EX,61.1,https://segoma.com/v.aspx?type=view&id=K8RN2LHKA9,Y,,,        ,,,,NONE,0.00,,,MEDIUM,IGI,10.98 x 11.03 x  6.72,,,,    ,43.5,EX,-0.40,10200,RBC, 5.02,,  0,AG554-01,EX,60,HK-March2019,,0,
Y,,,,3295057548,3295057548.pdf,VVS1,D,K.T.S:Feather; Chip; Natural,ISRAEL,35.5,15.5,NON,VG,62.9,,Y,,,        ,,,,FNT,0.00,Faceted,STK,MED,GIA,4.37 x  4.34 x  2.74,,,,41.2,43.5,EX,-0.40,1740,RBC, 0.32,, 55,AZ001-48,VG,57,,,0,
Y,,,,2176709793,2176709793.pdf,VS2,D,,ISRAEL,32.5,11.5,NON,VG,60.0,https://segoma.com/v.php?type=inner&id=JFVF3ZPEHH,Y,,,        ,,,,STG,0.00,Faceted,STK,MED,GIA,4.40 x  4.38 x  2.63,,,,42.0,45.0,EX,-0.35,1625,RBC, 0.31,, 50,AZ003-17,VG,64,,,0,
Y,,,,1179522732,1179522732.pdf,VS2,D,,ISRAEL,36.5,15.5,NON,VG,62.4,https://segoma.com/v.php?type=inner&id=M6053JSLFF,Y,,,        ,,,,MED,0.00,Faceted,THK,MED,GIA,4.71 x  4.66 x  2.92,,,,40.4,42.5,VG,-0.35,1885,RBC, 0.40,, 50,AZ003-19,VG,58,,,0,
Y,,,,3315419616,3315419616.pdf,VS2,D,K.T.S:Twinning Wisp,ISRAEL,0.0,0.0,NON,,63.8,https://segoma.com/v.aspx?type=view&id=WVPJGYNAAX,Y,,,        ,,,,NON,0.00,Faceted,VTK,THN,GIA,7.04 x  5.18 x  3.30,,,,    , 0.0,VG,-0.33,3082,OV, 0.80,,  0,AZ003-48,G,58,HK-March2019,,0,
Y,,,,5176715538,5176715538.pdf,VS2,D,,ISRAEL,31.5,12.5,NON,G,58.8,https://segoma.com/v.php?type=inner&id=FDMU6Z6SFF,Y,,,        ,,,,NON,0.00,Faceted,THK,STK,GIA,4.37 x  4.34 x  2.56,,,,40.2,42.0,EX,-0.35,1625,RBC, 0.30,, 50,AZ003-9,VG,59,,,0,
Y,,,,3404164628,,VVS2,E,,ISRAEL,0.0,0.0,,,70.4,,Y,,,        ,,,,NONE,0.00,Polished,,MED;,EGL Israel,4.15 x  4.29 x  2.92,,,,    , 0.0,EX,-0.60,1040,RAD, 0.40,,  0,AZ011-15,EX,66,,,0,
Y,,,,6262354062,6262354062.pdf,VVS1,D,K.T.S:Pinpoint; Cloud,ISRAEL,32.5,11.5,NON,G,57.1,https://segoma.com/v.php?type=inner&id=IVP0PNDUCC,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,6.16 x  6.14 x  3.51,,,,40.6,43.0,VG,-0.23,5390,RBC, 0.80,, 55,AZ012-24,VG,64,,,0,
Y,,,,3404164527,,VS1,E,,ISRAEL,0.0,0.0,,,67.2,,Y,,,        ,,,,NONE,0.00,Polished,,MED;,EGL Israel,4.24 x  4.79 x  2.85,,,,    , 0.0,VG,-0.50,1200,PR, 0.47,,  0,AZ012-79,VG,83,,,0,
Y,,,,2294053224,2294053224.pdf,VVS2,F,K.T.S:Cloud; Feather; Pinpoint,ISRAEL,36.5,15.5,VSM,G,61.1,,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,4.86 x  4.83 x  2.96,,,,40.8,43.0,VG,-0.33,1943,RBC, 0.42,, 50,AZ021-46,F,59,,,0,
Y,,,,7296054202,7296054202.pdf,VS2,E,K.T.S:Crystal; Indented Natural,ISRAEL,36.0,15.5,SML,F,65.3,,Y,,,        ,,,,FNT,0.00,Faceted,ETK,THK,GIA,4.14 x  4.10 x  2.69,,,,40.8,42.5,VG,-0.39,1464,RBC, 0.30,, 55,AZ023-78,G,57,,,0,
Y,,,,2161064416,2161064416.pdf,VVS1,G,K.T.S:Feather; Chip; Indented Natural,ISRAEL,34.5,15.5,NON,VG,63.5,https://segoma.com/v.aspx?type=view&id=B7MGH36KUI,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,5.98 x  5.95 x  3.79,,,,42.0,44.5,VG,-0.15,4505,RBC, 0.81,, 45,AZ030-21,VG,55,,,0,
Y,,,,6295053761,6295053761.pdf,VVS2,G,K.T.S:Needle; Pinpoint; Feather; Indented Natural,ISRAEL,38.0,15.0,NON,G,63.0,,Y,,,        ,,,Blue,MED,0.00,Faceted,STK,THN,GIA,4.75 x  4.70 x  2.98,,,,41.2,43.5,G,-0.35,1820,RBC, 0.42,, 55,AZ031-26,G,61,,,0,
Y,,,,7288802150,7288802150.pdf,VS1,G,K.T.S:Feather,ISRAEL,0.0,0.0,NON,,63.9,,Y,,,        ,,,,NON,0.00,,STK,MED,GIA,6.97 x  3.31 x  2.11,,AZ043-54,,    , 0.0,EX,     ,2500,BG, 0.50,,  0,AZ032-18,EX,73,HK-March2019,,0,
Y,,,,2296058425,2296058425.pdf,VS1,F,K.T.S:Feather; Knot,ISRAEL,30.5,12.5,NON,G,58.3,,Y,,,        ,,,,FNT,0.00,Faceted,VTK,MED,GIA,4.73 x  4.67 x  2.74,,,,40.2,42.5,VG,-0.33,1608,RBC, 0.37,, 55,AZ032-56,G,59,,,0,
Y,,,,3404164729,,VS1,G,,ISRAEL,0.0,0.0,,,75.4,,Y,,,        ,,,,NONE,0.00,Polished,,MED;,EGL Israel,4.23 x  4.75 x  3.19,,,,    , 0.0,EX,-0.60,1080,RAD, 0.50,,  0,AZ032-87,EX,79,,,0,
Y,,,,2298057614,2298057614.pdf,VS1,G,K.T.S:Crystal,ISRAEL,37.5,15.5,NON,G,64.6,,Y,,,        ,,,,FNT,0.00,Faceted,VTK,THN,GIA,4.67 x  4.60 x  2.99,,,,41.6,44.0,VG,-0.38,1674,RBC, 0.41,, 50,AZ032-89,F,60,,,0,
Y,,,,,,SI3,D,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,2100,BG, 1.42,,  0,AZ033-45,,  ,HK-March2019,,0,
Y,,,,1299053373,1299053373.pdf,VS2,G,K.T.S:Crystal; Feather,ISRAEL,37.5,16.0,NON,G,65.4,,Y,,,        ,,,Blue,MED,0.00,Faceted,THK,THN,GIA,4.45 x  4.38 x  2.89,,,,42.0,44.5,G,-0.33,1474,RBC, 0.35,, 50,AZ033-87,G,58,,,0,
Y,,,,3195163129,3195163129.pdf,SI2,F,,ISRAEL,0.0,0.0,NON,,71.4,https://segoma.com/v.php?type=inner&id=0Z7QSJ9HYY,Y,,,        ,,,,NON,0.00,,VTK,ETN,GIA,4.78 x  4.09 x  2.92,,,,    , 0.0,VG,-0.40,960,RAD, 0.45,,  0,AZ034-16,F,82,,,0,
Y,,,,5293053110,5293053110.pdf,SI2,F,K.T.S:Twinning Wisp,ISRAEL,37.5,16.0,NON,G,63.6,,Y,,,        ,,,Blue,MED,0.00,Faceted,VTK,STK,GIA,6.09 x  6.04 x  3.86,,,,40.6,42.5,VG,-0.45,2750,RBC, 0.91,, 50,AZ035-21,G,58,,,0,
Y,,,,2256064799,2256064799.pdf,IF,H,K.T.S:Minor Details of Polish,ISRAEL,0.0,0.0,NON,,66.2,,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,5.62 x  5.41 x  3.58,,AZ043-76,,    , 0.0,EX,-0.38,3100,CUSH, 0.91,,  0,AZ040-78,VG,64,HK-March2019,,0,
Y,,,,6235663062,6235663062.pdf,VS1,E,,ISRAEL,0.0,0.0,NON,,81.3,https://segoma.com/v.php?type=inner&id=5PE6L7EPLL,Y,,,        ,,,,MED,0.00,,STK,THN,GIA,7.55 x  3.42 x  2.78,,,,    , 0.0,VG,-0.20,3680,BG, 0.71,,  0,AZ041-3,G,66,HK-March2019,,0,
Y,,,,7296054495,7296054495.pdf,VS1,G,K.T.S:Crystal; Needle,ISRAEL,38.0,16.0,NON,F,67.2,,Y,,,        ,,,,NON,0.00,Faceted,THK,MED,GIA,4.78 x  4.71 x  3.19,,,,42.6,45.5,VG,-0.36,1728,RBC, 0.45,, 55,AZ042-45,F,58,,,0,
Y,,,,7192877249,7192877249.pdf,VS2,H,,ISRAEL,0.0,0.0,NON,,65.8,https://segoma.com/v.php?type=inner&id=QRUKVRI1JJ,Y,,,        ,,,,NON,0.00,,STK,MED,GIA,7.00 x  3.33 x  2.19,,AZ032-18,,    , 0.0,VG,     ,2500,BG, 0.54,,  0,AZ043-54,VG,72,HK-March2019,,0,
Y,,,,7251064801,7251064801.pdf,VS2,H,K.T.S:Cloud,ISRAEL,0.0,0.0,NON,,68.5,,Y,,,        ,,,,NON,0.00,Faceted,MED,VTN,GIA,5.58 x  5.34 x  3.66,,AZ040-78,,    , 0.0,EX,-0.38,2852,CUSH, 0.90,,  0,AZ043-76,VG,63,HK-March2019,,0,
Y,,,,6292054505,6292054505.pdf,VS2,H,K.T.S:Cloud; Crystal; Chip; Feather,ISRAEL,36.0,15.5,NON,F,64.4,,Y,,,        ,,,,NON,0.00,Faceted,ETK,THK,GIA,4.16 x  4.14 x  2.67,,,,40.6,42.5,VG,-0.38,1302,RBC, 0.30,, 50,AZ043-78,VG,57,,,0,
Y,,,,2931387942,,VS2,LY,,ISRAEL,0.0,0.0,,,61.7,,Y,,,        ,,,,NONE,0.00,,,,EGL Israel,5.50 x  5.48 x  3.39,,,,    , 0.0,VG,     ,1000,RBC, 0.64,,  0,AZ045-5,VG,61,,,0,
Y,,,,6312902095,6312902095.pdf,VVS1,I,K.T.S:Feather; Indented Natural; Surface Graining,ISRAEL,0.0,0.0,NON,,52.8,,Y,,,        ,,,Blue,MED,0.00,Faceted,VTK,THK,GIA,8.81 x  5.37 x  2.84,,,,    , 0.0,VG,-0.30,2240,PS, 0.80,,  0,AZ050-11,VG,62,HK-March2019,,0,
Y,,,,5296057199,5296057199.pdf,VVS2,I,K.T.S:Pinpoint; Feather; Chip; Cavity,ISRAEL,35.0,13.0,NON,VG,61.7,,Y,,,        ,,,,NON,0.00,Faceted,THK,STK,GIA,4.27 x  4.24 x  2.62,,,,41.2,43.5,VG,-0.35,1365,RBC, 0.30,, 60,AZ051-15,VG,62,,,0,
Y,,,,6312902016,6312902016.pdf,VS1,I,K.T.S:Feather,ISRAEL,0.0,0.0,NON,,46.3,,Y,,,        ,,,Blue,MED,0.00,Faceted,VTK,STK,GIA,9.49 x  5.53 x  2.56,,,,    , 0.0,VG,-0.30,2030,PS, 0.80,,  0,AZ052-46,VG,64,HK-March2019,,0,
Y,,,,2296053152,2296053152.pdf,SI1,J,K.T.S:Crystal,ISRAEL,35.5,15.0,NON,VG,62.3,,Y,,,        ,,,,NON,0.00,Faceted,THK,MED,GIA,4.40 x  4.38 x  2.73,,,,40.6,42.5,VG,     ,1092,RBC, 0.33,, 55,AZ064-15,VG,58,,,0,
Y,,,,2298053457,2298053457.pdf,SI1,J,K.T.S:Crystal,ISRAEL,35.0,15.0,NON,G,64.4,,Y,,,        ,,,Blue,MED,0.00,Faceted,VTK,THK,GIA,4.19 x  4.17 x  2.69,,,,41.2,43.5,EX,     ,1092,RBC, 0.30,, 55,AZ064-16,VG,57,,,0,
Y,,,,,,,FVY,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,5000,RBC, 0.36,,  0,AZ099-11,,  ,HK-March2019,,0,
Y,,,,2185123493,2185123493.pdf,I1,,Pinpoints are not shown.  Fancy Pink; Natural Even K.T.S:Crystal; Etch Channel; Knot; Cavity; Indente,ISRAEL,0.0,0.0,NON,,65.5,https://segoma.com/v.aspx?type=view&id=KC0WXTMC1B,Y,,,PINK    ,FANCY,,Blue,STG,0.00,Faceted,ETK,STK,GIA,5.42 x  5.40 x  3.54,,,,    , 0.0,VG,     ,50000,CUSH, 0.92,,  0,AZ099-14,G,61,HK-March2019,,0,
Y,,,,2185617663,2185617663.pdf,I1,,Clouds; pinpoints and surface graining are not sho  Fancy Light Green; Natural Even K.T.S:Crystal; Feather; Extra Facet,ISRAEL,0.0,0.0,NON,,62.7,https://segoma.com/v.php?type=inner&id=SQV6D6VVUU,Y,,,GREEN   ,LIGHT,,Blue,STG,0.00,Faceted,ETK,VTK,GIA,5.74 x  5.54 x  3.47,WeChat ID - GuyZamir,,,    , 0.0,G,     ,8200,CUSH, 0.93,,  0,AZ099-2,G,64,HK-March2019,,0,
Y,,,,5141663693,5141663693.pdf,SI1,Fancy,Pinpoints are not shown.  Fancy Deep Brownish Greenish Yellow; Natural K.T.S:Etch Channel; Feather; Indented Natural; Ext,ISRAEL,0.0,0.0,NON,,56.4,,Y,,,        ,,,,NON,0.00,,ETK,THK,GIA,3.89 x  3.84 x  2.18,,,,    , 0.0,G,     ,2500,RBC, 0.21,,  0,AZ099-24,F,63,,,0,
Y,,,,2256832676,2256832676.pdf,VS1,,Internal graining is not shown.  Fancy Orangy Pink; Natural Even K.T.S:Crystal; Feather; Pinpoint; Natural,ISRAEL,0.0,0.0,NON,,62.9,https://segoma.com/v.aspx?type=view&id=NGMOFD3TYH,Y,,,PINK    ,FANCY,ORANGY,Blue,STG,0.00,Faceted,STK,MED,GIA,5.73 x  5.69 x  3.59,,,,    , 0.0,G,     ,35000,RBC, 0.71,,  0,AZ099-34,VG,58,HK-March2019,,0,
Y,,,,2175190233,,I2,,VIVID PURPLISH,ISRAEL,0.0,0.0,,,0.0,,Y,,,PINK    ,VIVID,PURPLISH,,,0.00,,,,GIA,,,,,    , 0.0,,     ,100000,RAD, 0.68,,  0,AZ099-41,,  ,HK-March2019,,0,
Y,,,,1206064938,1206064938.pdf,I2,,Additional clouds; pinpoints and internal graining  Fancy Intense Purplish Pink; Natural Even K.T.S:Etch Channel; Feather; Crystal; Cloud; Cavit,ISRAEL,0.0,0.0,NON,,62.2,,Y,,,PINK    ,INTENSE,PURPLISH,Blue,MED,0.00,,STK,ETN,GIA,4.00 x  3.89 x  2.45,,,,    , 0.0,VG,     ,40000,RBC, 0.23,,  0,AZ099-42,F,60,,,0,
Y,,,,2205065588,2205065588.pdf,I2,,Fancy Pink; Natural Even K.T.S:Crystal; Feather; Indented Natural; Etch Cha,ISRAEL,0.0,0.0,NON,,64.9,,Y,,,PINK    ,FANCY,,Blue,MED,0.00,,VTK,MED,GIA,4.09 x  4.04 x  2.63,,,,    , 0.0,G,     ,28000,RBC, 0.27,,  0,AZ099-43,F,62,,,0,
Y,,,,,,SI3,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,PINK    ,VIVID,,,,0.00,,,,,,,,23,    , 0.0,,     ,60000,RBC, 1.51,,  0,AZ099-44,,  ,HK-March2019,,0,
Y,,,,,,I1,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,PINK    ,,,,,0.00,,,,,,,,7,    , 0.0,,     ,15000,RBC, 0.45,,  0,AZ099-46,,  ,,,0,
Y,,,,,,,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,YELLOW  ,VIVID,,,,0.00,,,,,,,,31,    , 0.0,,     ,5000,RBC, 7.51,,  0,AZ099-70,,  ,HK-March2019,,0,
Y,,,,6194953126,6194953126.pdf,VS2,,Internal graining is not shown.  Fancy Brownish Orangy Pink; Natural Even K.T.S:Indented Natural; Feather; Extra Facet,ISRAEL,0.0,0.0,NON,,64.4,https://segoma.com/v.aspx?type=view&id=WLE4W80CVM,Y,,,PINK    ,FANCY,ORANGY,Blue,MED,0.00,Faceted,ETK,THK,GIA,6.25 x  4.52 x  2.91,,,,    , 0.0,EX,     ,12000,OV, 0.62,,  0,AZ099-75,G,58,HK-March2019,,0,
Y,,,,1305497991,1305497991.pdf,VVS1,D,Additional pinpoints are not shown. Surface graini   K.T.S:Pinpoint; Feather; Cavity; Chip; Indented Na,ISRAEL,0.0,0.0,NON,,59.0,,Y,,,        ,,,,FNT,0.00,Faceted,VTK,MED,GIA,9.04 x  5.76 x  3.40,,AZ112-87,,    , 0.0,VG,-0.45,6050,PS, 1.04,,  0,AZ100-46,VG,54,HK-March2019,,0,
Y,,,,1315897397,1315897397.pdf,VVS1,D,K.T.S:Pinpoint; Indented Natural,ISRAEL,0.0,0.0,NON,,61.8,,Y,,,        ,,,,NON,0.00,Faceted,STK,THN,GIA,8.31 x  5.50 x  3.40,,AZ100-51,,    , 0.0,EX,-0.31,7590,OV, 1.04,,  0,AZ100-50,VG,62,,,0,
Y,,,,2316904100,2316904100.pdf,VVS1,D,K.T.S:Pinpoint,ISRAEL,0.0,0.0,NON,,61.5,,Y,,,        ,,,,NON,0.00,Faceted,THK,MED,GIA,8.17 x  5.56 x  3.42,,AZ100-50,,    , 0.0,EX,-0.31,7590,OV, 1.04,,  0,AZ100-51,VG,54,,,0,
Y,,,,2151386603,2151386603.pdf,IF,D,Minor details of polish are not shown.   K.T.S:Natural,ISRAEL,0.0,0.0,NON,,59.1,https://segoma.com/v.aspx?type=view&id=JAFDRVPZER,Y,,,        ,,,,NON,0.00,Faceted,MED,VTN,GIA,9.18 x  6.74 x  3.98,,,,    , 0.0,VG,-0.41,10030,OV, 1.57,,  0,AZ100-54,VG,56,HK-March2019,,0,
Y,,,,7312905193,7312905193.pdf,VVS2,D,Surface graining is not shown.   K.T.S:Pinpoint,ISRAEL,0.0,0.0,NON,,61.5,https://segoma.com/v.aspx?type=view&id=EVVRMFRD46,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,8.97 x  5.68 x  3.49,,,,    , 0.0,VG,-0.30,6860,PS, 1.05,,  0,AZ101-49,VG,58,HK-March2019,,0,
Y,,,,2131315861,2131315861.pdf,VS1,D,Additional pinpoints are not shown.   K.T.S:Crystal; Feather; Cloud; Indented Natural; N,ISRAEL,35.5,14.5,NON,VG,62.6,https://segoma.com/v.php?type=inner&id=IRA1WW6KKK,Y,,,        ,,,,NON,0.00,Faceted,THK,MED,GIA,7.25 x  7.21 x  4.53,,,,41.0,43.5,EX,-0.33,10720,RBC, 1.50,, 55,AZ102-13,VG,60,HK-March2019,,0,
Y,,,,2131619123,2131619123.pdf,VS1,D,Pinpoints are not shown.,ISRAEL,36.5,16.0,NON,EX,63.3,https://segoma.com/v.php?type=inner&id=BXQ6A0ARZZ,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,6.42 x  6.30 x  4.03,,,,41.2,43.5,EX,-0.30,8540,RBC, 1.01,, 50,AZ102-60,VG,57,HK-March2019,,0,
Y,,,,2148374439,2148374439.pdf,VS1,D,An additional pinpoint is not shown.,ISRAEL,36.0,15.0,NON,EX,62.0,https://segoma.com/v.php?type=inner&id=FI66GRSJOO,Y,,,        ,,,,FNT,0.00,Faceted,,STK,GIA,6.40 x  6.36 x  3.96,,,,40.8,43.0,EX,-0.32,8296,RBC, 1.01,, 55,AZ102-7,VG,59,HK-March2019,,0,
Y,,,,D88801980IL,,SI1,D,,ISRAEL,0.0,0.0,,EX,63.1,,Y,,,        ,,,,NONE,0.00,,,,IGL,6.28 x  6.35 x  3.98,,,,    , 0.0,EX,-0.54,3956,RBC, 1.02,,  0,AZ104-84,EX,57,HK-March2019,,0,
Y,,,,1273785898,1273785898.pdf,VVS1,E,K.T.S:Pinpoint; Cavity,ISRAEL,0.0,0.0,NON,,65.7,,Y,,,        ,,,,NON,0.00,,,STK,GIA,8.70 x  4.19 x  2.75,,AZ122-87,,    , 0.0,EX,-0.35,6370,BG, 1.02,,  0,AZ111-54,EX,69,HK-March2019,,0,
Y,,,,1275110196,1275110196.pdf,VS1,E,K.T.S:Feather; Pinpoint; Extra Facet,ISRAEL,0.0,0.0,NON,,56.0,,Y,,,        ,,,Blue,MED,0.00,Faceted,ETK,VTK,GIA,9.10 x  5.55 x  3.11,,AZ100-46,,    , 0.0,VG,-0.45,4125,PS, 1.01,,  0,AZ112-87,F,53,HK-March2019,,0,
Y,,,,2151386592,2151386592.pdf,VS2,D,K.T.S:,ISRAEL,0.0,0.0,NON,,65.0,https://segoma.com/v.aspx?type=view&id=647JOCFO3W,Y,,,        ,,,,NON,0.00,Faceted,VTK,MED,GIA,9.17 x  5.42 x  3.53,,,,    , 0.0,VG,-0.35,4875,PS, 1.02,,  0,AZ113-18,VG,51,HK-March2019,,0,
