Allow RapLink Feed,Availability,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Clarity,Color,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,Cut Grade,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,Polish,RapNet Discount %,RapNet Price,Shape,Size,State,Star Length,Stock #,Symmetry,Table %,Trade Show,BGM,Full List Price,Second Site
Y,,,,7276877951,7276877951.pdf,VS2,E,Additional pinpoints are not shown. Surface graini   K.T.S:Feather; Twinning Wisp; Cloud; Pinpoint,ISRAEL,32.5,13.0,NON,EX,60.1,https://segoma.com/v.aspx?type=view&id=LLV6LDPBQR,Y,,,        ,,,,FNT,0.00,Faceted,STK,MED,GIA,6.57 x  6.54 x  3.94,,,,40.8,43.0,VG,-0.31,6624,RBC, 1.04,, 45,AZ113-45,EX,59,HK-March2019,,0,
Y,,,,1313419438,1313419438.pdf,VS2,E,Pinpoints are not shown.   K.T.S:Crystal; Feather; Needle,ISRAEL,0.0,0.0,NON,,63.6,https://segoma.com/v.aspx?type=view&id=R30KNWEXVS,Y,,,        ,,,,NON,0.00,,THK,THN,GIA,8.22 x  5.65 x  3.59,,,,    , 0.0,EX,-0.40,5880,EM, 1.57,,  0,AZ113-56,VG,64,HK-March2019,,0,
Y,,,,2151874585,2151874585.pdf,SI1,G,Clouds are not shown.Pinpoints are not shown.   K.T.S:Crystal; Feather; Knot; Needle; Indented Nat,ISRAEL,31.5,12.5,NON,EX,60.2,https://segoma.com/v.php?type=view&id=7NP4V21UOO,Y,,,        ,,,,FNT,0.00,Faceted,MED,THN,GIA,14.67 x 14.58 x  8.80,,,,41.8,44.5,EX,     ,35000,RBC,11.29,, 50,AZ1134-1,EX,59,HK-March2019,,0,
Y,,,,6271456241,6271456241.pdf,SI2,E,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather; Crystal; Cloud; Needle; Indented Na,ISRAEL,34.5,13.5,NON,VG,62.3,https://segoma.com/v.aspx?type=view&id=KZ8YD9T6TC,Y,,,        ,,,,NON,0.00,Faceted,THK,MED,GIA,6.39 x  6.37 x  3.97,,,,41.4,44.0,EX,-0.32,4556,RBC, 1.02,, 50,AZ115-10,VG,61,HK-March2019,,0,
Y,,,,2304544326,2304544326.pdf,SI2,E,Additional clouds; pinpoints and manufacturing rem   K.T.S:Crystal; Feather; Cavity; Cloud; Indented Na,ISRAEL,0.0,0.0,NON,,67.0,,Y,,,        ,,,,NON,0.00,,VTK,MED,GIA,7.36 x  6.84 x  4.58,,,,    , 0.0,VG,-0.33,4623,RAD, 1.90,,  0,AZ115-48,G,64,HK-March2019,,0,
Y,,,,5191531700,5191531700.pdf,VVS1,F,Clarity grade is based on internal graining that i   K.T.S:,ISRAEL,0.0,0.0,NON,,56.5,,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,6.16 x  7.31 x  4.13,,AZ123-45,,    , 0.0,EX,-0.30,5950,HS, 1.07,,  0,AZ120-52,EX,60,HK-March2019,,0,
Y,,,,2294229816,2294229816.pdf,VS1,F,K.T.S:Feather,ISRAEL,0.0,0.0,NON,,64.5,,Y,,,        ,,,,NON,0.00,,MED,THN,GIA,8.58 x  4.24 x  2.73,,AZ111-54,,    , 0.0,EX,-0.35,4550,BG, 1.02,,  0,AZ122-87,EX,69,HK-March2019,,0,
Y,,,,2307543233,2307543233.pdf,VS2,F,Internal graining is not shown. Surface graining i   K.T.S:Needle; Feather,ISRAEL,0.0,0.0,NON,,60.7,,Y,,,        ,,,,NON,0.00,Faceted,VTK,MED,GIA,5.93 x  6.87 x  4.17,,,,    , 0.0,EX,-0.33,4556,HS, 1.01,,  0,AZ123-11,VG,57,,,0,
Y,,,,6311654044,6311654044.pdf,VS2,F,Surface graining is not shown.   K.T.S:Feather; Pinpoint; Natural,ISRAEL,0.0,0.0,NON,,56.4,,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,6.11 x  7.11 x  4.01,,AZ120-52,,    , 0.0,VG,-0.30,4760,HS, 1.01,,  0,AZ123-45,VG,61,HK-March2019,,0,
Y,,,,1313509350,1313509350.pdf,I1,F,Additional clouds; pinpoints and surface graining   K.T.S:Feather; Crystal; Cloud; Knot; Needle; Inden,ISRAEL,33.5,13.0,NON,EX,60.8,https://segoma.com/v.aspx?type=view&id=UB35BHYWG7,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,7.08 x  7.05 x  4.30,,,,41.8,44.5,EX,-0.13,3828,RBC, 1.31,, 50,AZ127-15,EX,61,HK-March2019,,0,
Y,,,,3165398191,3165398191.pdf,VVS1,G,Cut grade affected by brillianteering.,ISRAEL,31.5,13.0,NON,VG,60.4,https://segoma.com/v.php?type=inner&id=Q48YDU7RCC,Y,,,        ,,,,NON,0.00,,THK,STK,GIA,6.48 x  6.44 x  3.90,,,,41.2,43.5,VG,-0.32,6936,RBC, 1.01,, 50,AZ130-1,VG,58,HK-March2019,,0,
Y,,,,329866738,,SI2,G,,ISRAEL,0.0,0.0,,EX,0.0,https://segoma.com/v.aspx?type=view&id=J7NZPX8L95,Y,,,        ,,,,NONE,0.00,,,,IGI,6.46 x  6.50 x  4.06,,,,    , 0.0,VG,-0.37,3780,RBC, 1.07,,  0,AZ135-15,EX,61,HK-March2019,,0,
Y,,,,6242755179,6242755179.pdf,IF,H,Minor details of polish are not shown.   K.T.S:,ISRAEL,0.0,0.0,NON,,68.5,https://segoma.com/v.aspx?type=view&id=8SKFEJUN59,Y,,,        ,,,,NON,0.00,Faceted,STK,THN,GIA,5.87 x  5.81 x  3.98,,AZ140-18,,    , 0.0,EX,-0.45,3630,CUSH, 1.13,,  0,AZ140-15,VG,61,HK-March2019,,0,
Y,,,,6242754738,6242754738.pdf,IF,H,Minor details of polish are not shown.   K.T.S:,ISRAEL,0.0,0.0,NON,,68.7,https://segoma.com/v.aspx?type=view&id=75PD4XWIM6,Y,,,        ,,,,NON,0.00,Faceted,MED,VTN,GIA,5.69 x  5.67 x  3.90,,AZ140-15,,    , 0.0,EX,-0.45,3630,CUSH, 1.06,,  0,AZ140-18,VG,61,HK-March2019,,0,
Y,,,,1188043223,1188043223.pdf,VS1,H,Additional pinpoints are not shown.   K.T.S:Crystal; Cloud; Pinpoint,ISRAEL,33.0,13.5,NON,EX,60.4,https://segoma.com/v.aspx?type=view&id=LM2BVLOA9C,Y,,,        ,,,,NON,0.00,Faceted,MED,THN,GIA,6.54 x  6.51 x  3.94,,,,41.2,43.5,EX,-0.23,6160,RBC, 1.01,, 55,AZ142-16,EX,58,HK-March2019,,0,
Y,,,,7291854022,7291854022.pdf,VS2,H,Pinpoints are not shown.   K.T.S:Feather; Crystal; Cavity; Needle; Extra Face,ISRAEL,0.0,0.0,MED,,59.6,,Y,,,        ,,,Blue,MED,0.00,Faceted,ETK,THN,GIA,11.87 x  4.88 x  2.91,,,,    , 0.0,VG,-0.50,2700,MQ, 1.01,,  0,AZ143-11,F,53,,,0,
Y,,,,,,,J,,ISRAEL,0.0,0.0,,,0.0,https://up.diacam360.com/scan/163a_53095,Y,,,        ,,,,,0.00,,,,,,,,,    , 0.0,,     ,1700,HS, 1.00,,  0,AZ144-10,,  ,,,0,
Y,,,,6295382217,6295382217.pdf,SI2,K,Additional clouds are not shown.   K.T.S:Feather; Crystal; Cloud; Needle; Indented Na,ISRAEL,36.0,13.0,NON,G,62.5,https://segoma.com/v.aspx?type=view&id=TGDPVOWNHF,Y,,,        ,,,Blue,MED,0.00,Faceted,VTK,THK,GIA,6.30 x  6.25 x  3.92,,,,41.0,43.5,EX,-0.35,2535,RBC, 1.00,, 60,AZ175-11,VG,64,HK-March2019,,0,
Y,,,,1172867721,1172867721.pdf,VVS1,N,K.T.S:Feather,ISRAEL,0.0,0.0,NON,,46.6,,Y,,,        ,,,,NON,0.00,Faceted,VTK,STK,GIA,9.99 x  6.96 x  3.24,,,,    , 0.0,EX,     ,2300,OV, 1.59,,  0,AZ180-11,VG,67,HK-March2019,,0,
Y,,,,6305319021,6305319021.pdf,SI1,L,Clouds; pinpoints and surface graining are not sho   K.T.S:Crystal; Feather; Cavity; Needle,ISRAEL,0.0,0.0,NON,,65.7,,Y,,,        ,,,,NON,0.00,Faceted,ETK,MED,GIA,9.96 x  6.51 x  4.28,,AZ273-11,,    , 0.0,VG,-0.25,2475,PS, 1.70,,  0,AZ184-15,G,60,HK-March2019,,0,
Y,,,,15144542,AZ197-01.pdf,,FGGY,NONE,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,GIA,5.49 x  5.43 x  4.27,,,,    , 0.0,,     ,2500,PR, 1.03,,  0,AZ197-1,,  ,,,0,
Y,,,,2185987202,2185987202.pdf,VVS1,,Internal graining is not shown. Additional extra f  Fancy Orangy Pink; Natural Even K.T.S:Chip; Extra Facet,ISRAEL,0.0,0.0,NON,,62.3,https://segoma.com/v.aspx?type=view&id=6WJGGFQJZ5,Y,,,PINK    ,FANCY,ORANGY,,NON,0.00,,VTK,THK,GIA,6.68 x  5.80 x  3.61,,,,    , 0.0,VG,     ,90000,RAD, 1.30,,  0,AZ199-02,G,70,HK-March2019,,0,
Y,,,,2181724517,2181724517.pdf,VVS1,,Fancy Intense Yellow; Natural Even K.T.S:Feather; Indented Natural; Natural,ISRAEL,0.0,0.0,NON,,74.6,https://segoma.com/v.php?type=inner&id=N83TWULZZ,Y,,,YELLOW  ,INTENSE,,Blue,MED,0.00,,,ETK,GIA,6.34 x  4.93 x  3.68,,AZ199-14,,    , 0.0,EX,     ,6000,RAD, 1.14,,  0,AZ199-13,EX,61,HK-March2019,,0,
Y,,,,6173934362,6173934362.pdf,VVS1,,Surface graining is not shown.  Fancy Intense Yellow; Natural Even K.T.S:Feather; Chip,ISRAEL,0.0,0.0,NON,,72.1,https://segoma.com/v.php?type=inner&id=ZTZTW55UNN,Y,,,YELLOW  ,INTENSE,,,NON,0.00,,,ETK,GIA,6.15 x  5.06 x  3.65,,AZ199-13,,    , 0.0,VG,     ,6000,RAD, 1.13,,  0,AZ199-14,VG,60,HK-March2019,,0,
Y,,,,6272044633,6272044633.pdf,VS2,,Additional clouds; pinpoints and surface graining  Fancy Intense Yellow; Natural Even K.T.S:Twinning Wisp; Cloud; Crystal; Feather; Need,ISRAEL,0.0,0.0,NON,,51.7,https://segoma.com/v.aspx?type=view&id=G42AMN8QHU,Y,,,YELLOW  ,INTENSE,,,NON,0.00,Faceted,VTK,MED,GIA,6.40 x  7.48 x  3.87,,,,    , 0.0,EX,     ,6200,HS, 1.27,,  0,AZ199-19,G,64,HK-March2019,,0,
Y,,,,1278836202,1278836202.pdf,VVS1,,Fancy Intense Yellow; Natural Even K.T.S:Cloud; Feather; Extra Facet,ISRAEL,0.0,0.0,NON,,66.7,https://segoma.com/v.aspx?type=view&id=8OVZNJBXEB,Y,,,YELLOW  ,INTENSE,,,NON,0.00,,ETK,VTK,GIA,6.34 x  6.27 x  4.18,,,,    , 0.0,EX,     ,6250,RAD, 1.62,,  0,AZ199-41,G,65,HK-March2019,,0,
Y,,,,D90481730IL,,VS1,H,,ISRAEL,0.0,0.0,,EX,64.3,,Y,,,        ,,,,FAINT,0.00,,,,IGL,6.29 x  6.32 x  4.05,,,,    , 0.0,EX,     ,2000,RBC, 1.01,,  0,AZ199-43,EX,57,HK-March2019,,0,
Y,,,,D90481417IL,,VS2,J,,ISRAEL,0.0,0.0,,G,67.0,,Y,,,        ,,,,NONE,0.00,,,,IGL,6.47 x  6.62 x  4.40,,,,    , 0.0,VG,-0.55,2565,RBC, 1.25,,  0,AZ199-44-1,G,55,HK-March2019,,0,
Y,,,,D90482050IL,,SI1,H,,ISRAEL,0.0,0.0,,EX,61.3,,Y,,,        ,,,,NONE,0.00,,,,IGL,6.63 x  6.76 x  4.09,,,,    , 0.0,EX,-0.70,2040,RBC, 1.11,,  0,AZ199-44-2,EX,57,HK-March2019,,0,
Y,,,,2195939216,2195939216.pdf,SI1,,Clouds; pinpoints and surface graining are not sho  Fancy Deep Brown-Pink; Natural Even K.T.S:Etch Channel; Crystal; Feather; Indented Nat,ISRAEL,0.0,0.0,NON,,54.5,https://segoma.com/v.aspx?type=view&id=2CSQHIJ8X2,Y,,,PINK    ,FANCY,BROWN,Blue,MED,0.00,Faceted,VTK,THN,GIA,9.36 x  5.75 x  3.14,,,,    , 0.0,VG,     ,30000,PS, 1.02,,  0,AZ199-46,G,59,HK-March2019,,0,
Y,,,,3215924848,3215924848.pdf,VS2,S,Additional clouds are not shown.,ISRAEL,0.0,0.0,NON,,68.2,https://up.diacam360.com/scan/83ef_44591,Y,,,        ,,,,NON,0.00,,ETK,VTK,GIA,6.46 x  6.33 x  4.32,,,,    , 0.0,VG,     ,2750,RAD, 1.65,,  0,AZ199-54,G,76,HK-March2019,,0,
Y,,,,7328467980,7328467980.pdf,VS1,D,Surface graining is not shown.   K.T.S:Feather; Needle; Pinpoint; Indented Natural,ISRAEL,0.0,0.0,NON,,58.0,,Y,,,        ,,,,NON,0.00,Faceted,VTK,STK,GIA,7.90 x  8.81 x  5.11,,AZ203-05,,    , 0.0,EX,-0.30,12600,HS, 2.01,,  0,AZ202-03,EX,64,,,0,
Y,,,,5306274808,5306274808.pdf,VS2,D,Pinpoints are not shown.   K.T.S:Crystal; Feather; Cavity; Indented Natural;,ISRAEL,0.0,0.0,NON,,58.7,,Y,,,        ,,,,NON,0.00,Faceted,VTK,THN,GIA,7.78 x  8.71 x  5.12,,AZ202-03,,    , 0.0,EX,-0.30,10850,HS, 2.01,,  0,AZ203-05,EX,59,,,0,
Y,,,,5141848202,5141848202.pdf,SI2,D,Additional clouds are not shown. Pinpoints are not   K.T.S:Feather; Crystal; Cloud; Needle; Natural; Ex,ISRAEL,0.0,0.0,NON,,58.1,https://segoma.com/v.php?type=inner&id=7GY2QUMMMM,Y,,,        ,,,,NON,0.00,Faceted,ETK,STK,GIA,7.18 x  8.50 x  4.94,,AZ225-11,,    , 0.0,VG,-0.45,5060,HS, 2.01,,  0,AZ205-1,G,63,HK-March2019,,0,
Y,,,,1172199178,1172199178.pdf,SI2,F,Additional clouds are not shown. Pinpoints are not   K.T.S:Crystal; Feather; Cloud; Needle; Indented Na,ISRAEL,0.0,0.0,NON,,59.9,https://segoma.com/v.php?type=inner&id=LLHY56LF99,Y,,,        ,,,,NON,0.00,Faceted,ETK,STK,GIA,7.21 x  8.56 x  5.13,,AZ205-1,,    , 0.0,EX,-0.45,4840,HS, 2.01,,  0,AZ225-11,VG,59,HK-March2019,,0,
Y,,,,2287830740,2287830740.pdf,VVS2,H,Internal graining is not shown. Surface graining i   K.T.S:,ISRAEL,33.5,12.5,NON,EX,60.8,https://segoma.com/v.aspx?type=view&id=8J38WFKF6D,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,8.19 x  8.11 x  4.95,,,,41.4,44.0,EX,-0.37,9765,RBC, 2.03,, 55,AZ241-10,VG,61,HK-March2019,,0,
Y,,,,355935608,,SI2,G,,ISRAEL,0.0,0.0,,EX,61.3,https://segoma.com/v.aspx?type=view&id=OQLCWBT2H1,Y,,,        ,,,,NONE,0.00,,,,IGI,8.90 x  8.96 x  5.48,,,,    , 0.0,EX,-0.38,6200,RBC, 2.62,,  0,AZ245-01,EX,57,HK-March2019,,0,
Y,,,,1309318746,1309318746.pdf,SI1,L,Clouds; pinpoints and surface graining are not sho   K.T.S:Crystal; Cavity; Feather; Needle; Indented N,ISRAEL,0.0,0.0,NON,,66.8,,Y,,,        ,,,,NON,0.00,Faceted,ETK,THN,GIA,10.32 x  6.97 x  4.65,,AZ184-15,,    , 0.0,VG,-0.25,3000,PS, 2.01,,  0,AZ273-11,F,59,HK-March2019,,0,
Y,,,,DB7007365IL,,VVS2,,,ISRAEL,0.0,0.0,,,0.0,,Y,,,BROWN   ,,,,FAINT,0.00,,,,IGL,8.64 x  9.69 x  4.81,,,,    , 0.0,VG,     ,3000,CUSH, 2.69,,  0,AZ293-4,VG,  ,HK-March2019,,0,
Y,,,,,,VS,L,,ISRAEL,0.0,0.0,,,0.0,,Y,,,        ,,,,,0.00,,,,GIA,,,,,    , 0.0,,     ,3000,PS, 2.47,,  0,AZ299-11,,  ,HK-March2019,,0,
Y,,,,1182697567,1182697567.pdf,SI1,Fancy,Clouds; pinpoints; patches of color and surface gr  Fancy Dark Brown-Greenish Yellow; Natural Eve K.T.S:Crystal; Etch Channel; Feather; Needle; Natu,ISRAEL,0.0,0.0,VSM,,60.3,https://segoma.com/v.aspx?type=view&id=RB8ERTMMCQ,Y,,,        ,,,,NON,0.00,Faceted,VTK,MED,GIA,9.68 x  7.61 x  4.59,,,,    , 0.0,VG,     ,3000,OV, 2.53,,  0,AZ299-14,F,52,HK-March2019,,0,
Y,,,,2185966877,2185966877.pdf,I2,,Fancy Brownish Yellow; Natural Even K.T.S:Feather; Cavity; Indented Natural; Extra Fac,ISRAEL,0.0,0.0,NON,,38.0,https://segoma.com/v.aspx?type=view&id=BCX6LXKCIX,Y,,,YELLOW  ,FANCY,BROWNISH,,NON,0.00,Faceted,THK,THN,GIA,10.15 x  7.96 x  3.03,,,,    , 0.0,G,     ,2000,ROSE, 2.00,,  0,AZ299-18A,G,62,HK-March2019,,0,
Y,,,,2131554883,2131554883.pdf,SI2,,Fancy Yellow,ISRAEL,0.0,0.0,Very Small,,63.3,https://segoma.com/v.aspx?type=view&id=P4T2XIE2M2,Y,,,YELLOW  ,FANCY,,,FAINT,0.00,,Extremely Thick,Very Thick,GIA,8.59 x  6.68 x  4.23,,,,    , 0.0,VG,     ,4500,OV, 2.01,,  0,AZ299-33,G,61,HK-March2019,,0,
Y,,,,5191284722,5191284722.pdf,VS2,,Fancy Intense Yellow; Natural Even K.T.S:Feather; Cloud; Needle; Extra Facet,ISRAEL,0.0,0.0,NON,,68.2,https://segoma.com/v.aspx?type=view&id=QV258FYXJ2,Y,,,YELLOW  ,INTENSE,,,NON,0.00,,ETK,ETN,GIA,8.18 x  7.26 x  4.95,,,,    , 0.0,EX,     ,8300,RAD, 2.75,,  0,AZ299-46,G,65,HK-March2019,,0,
Y,,,,1305447691,1305447691.pdf,VS2,,Fancy Intense Yellow; Natural Even K.T.S:Feather; Indented Natural; Natural; Extra Fa,ISRAEL,0.0,0.0,NON,,68.2,,Y,,,YELLOW  ,INTENSE,,,NON,0.00,,VTK,THK,GIA,7.55 x  6.35 x  4.33,,AZ299-57,,    , 0.0,EX,     ,8500,RAD, 2.01,,  0,AZ299-56,G,63,,,0,
Y,,,,6302964700,6302964700.pdf,VS2,,Additional clouds are not shown. Pinpoints are not  Fancy Intense Yellow; Natural Even K.T.S:Crystal; Cloud; Needle; Natural; Extra Facet,ISRAEL,0.0,0.0,NON,,69.0,,Y,,,Yellow  ,Fancy Intense,,,NON,0.00,,ETK,THK,GIA,7.57 x  6.27 x  4.33,,AZ299-56,,    , 0.0,EX,     ,8500,RAD, 2.04,,  0,AZ299-57,VG,62,,,0,
Y,,,,5182915460,5182915460.pdf,SI1,,Clouds; pinpoints; internal graining and surface g  Fancy Deep Brownish Greenish Yellow; Natural K.T.S:Crystal; Cavity; Feather; Needle; Indented N,ISRAEL,0.0,0.0,NON,,67.8,,Y,,,YELLOW  ,DEEP,BROWNISH,,NON,0.00,Faceted,,ETK,GIA,6.82 x  6.78 x  4.60,WeChat ID - GuyZamir,AZ299-85,,    , 0.0,EX,     ,3300,CUSH, 2.01,,  0,AZ299-66,VG,58,HK-March2019,,0,
Y,,,,2195408693,2195408693.pdf,VS2,,Additional clouds are not shown.  Fancy Intense Yellow; Natural Even K.T.S:Crystal; Feather; Needle; Cloud; Indented Na,ISRAEL,0.0,0.0,NON,,65.3,https://segoma.com/v.aspx?type=view&id=OFL2A1HGJ0,Y,,,YELLOW  ,INTENSE,,,NON,0.00,Faceted,ETK,THK,GIA,7.14 x  7.14 x  4.67,,,,    , 0.0,EX,     ,7100,CUSH, 2.09,,  0,AZ299-78,G,67,HK-March2019,,0,
Y,,,,6183915437,6183915437.pdf,SI1,,Clouds are not shown. Pinpoints are not shown.  Fancy Deep Brownish Greenish Yellow; Natural K.T.S:Crystal; Feather; Indented Natural; Needle;,ISRAEL,0.0,0.0,NON,,67.3,,Y,,,YELLOW  ,DEEP,GREENISH,,NON,0.00,Faceted,,ETK,GIA,6.78 x  6.66 x  4.48,WeChat ID - GuyZamir,AZ299-66,,    , 0.0,EX,     ,3300,CUSH, 2.01,,  0,AZ299-85,G,57,HK-March2019,,0,
Y,,,,2121799084,2121799084.pdf,VVS2,D,K.T.S:Pinpoint,ISRAEL,36.0,15.0,NON,VG,62.3,https://segoma.com/v.php?type=inner&id=QWXX046TDD,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,9.22 x  9.17 x  5.73,,,,41.4,44.0,EX,-0.48,25480,RBC, 3.01,, 50,AZ301-4,G,59,,,0,
Y,,,,2247792050,2247792050.pdf,VS2,D,Internal graining is not shown.   K.T.S:Feather; Etch Channel; Cavity; Indented Natu,ISRAEL,0.0,0.0,NON,,60.7,https://segoma.com/v.aspx?type=view&id=BJPZU5P4AS,Y,,,        ,,,,NON,0.00,Faceted,THK,THN,GIA,13.99 x  7.86 x  4.77,,,,    , 0.0,EX,-0.43,14250,MQ, 3.00,,  0,AZ303-15,G,56,HK-March2019,,0,
Y,,,,1126957377,1126957377.pdf,VS1,E,K.T.S:Indented Natural; Cloud; Pinpoint; Natural;,ISRAEL,35.0,15.0,NON,VG,62.6,https://segoma.com/v.php?type=inner&id=DBJTR9C922,Y,,,        ,,,,NON,0.00,Faceted,THK,VTN,GIA,9.21 x  9.11 x  5.74,,,,40.8,43.0,VG,-0.48,18720,RBC, 3.01,, 50,AZ312-9,G,58,,,0,
Y,,,,6302667134,6302667134.pdf,VS2,F,Additional clouds; pinpoints; internal graining an   K.T.S:Crystal; Cloud; Feather; Needle,ISRAEL,0.0,0.0,NON,,67.5,https://segoma.com/v.aspx?type=view&id=LGMOLCK9S4,Y,,,        ,,,,NON,0.00,,THK,STK,GIA,9.51 x  7.06 x  4.77,,,,    , 0.0,EX,-0.38,13020,EM, 3.02,,  0,AZ323-15,EX,61,HK-March2019,,0,
Y,,,,6312422234,6312422234.pdf,SI1,H,Clouds are not shown. Pinpoints are not shown.   K.T.S:Feather; Crystal; Cavity; Needle; Knot,ISRAEL,0.0,0.0,NON,,53.5,https://segoma.com/v.aspx?type=view&id=WB4ROAEZVO,Y,,,        ,,,,NON,0.00,Faceted,ETK,STK,GIA,12.54 x  8.51 x  4.56,,,,    , 0.0,VG,-0.30,8400,PS, 3.00,,  0,AZ344-15,VG,59,HK-March2019,,0,
